Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Chr	Strand	Start	End
Sept2	human synonym	MGI:1888939	Septin6	septin 6	protein coding gene	X	-	36174925	36253711
Sept2.1		No associated gene							
D1Ertd622e	old symbol	MGI:1277184	Macir	macrophage immunometabolism regulator	protein coding gene	1	-	97571627	97589743
Dars	old symbol	MGI:2442544	Dars1	aspartyl-tRNA synthetase 1	protein coding gene	1	-	128291444	128345105
Gm15674	old symbol	MGI:3783116	Cd55os	CD55 molecule, opposite strand sequence	antisense lncRNA gene	1	+	130350561	130365651
Zc3h11a.1		No associated gene							
Gm38394	old symbol	MGI:3828086	Zbed6	zinc finger, BED type containing 6	protein coding gene	1	-	133547678	133589056
Chil1	old symbol	MGI:1340899	Chi3l1	chitinase 3 like 1	protein coding gene	1	+	134109894	134117769
4933406M09Rik	old symbol	MGI:3045320	Mgat4f	MGAT4 family, member F	protein coding gene	1	+	134313678	134318719
A430106G13Rik	old symbol	MGI:2443823	Mir181a-1hg	Mir181a-1 and Mir181b-1 host gene	lncRNA gene	1	+	137894269	137897656
Gm4788	old symbol	MGI:3646434	Cfhr4	complement factor H-related 4	protein coding gene	1	-	139625657	139708977
Fam129a	old symbol	MGI:2137237	Niban1	niban apoptosis regulator 1	protein coding gene	1	+	151447124	151596791
Gm2000	old symbol	MGI:3780170	Rpl35rt	ribosomal protein L35, retrotransposed	protein coding gene	1	+	156193610	156194054
Eef1aknmt	old symbol	MGI:1918699	Mettl13	methyltransferase 13, eEF1A lysine and N-terminal methyltransferase	protein coding gene	1	-	162359694	162376098
Mettl11b	old symbol	MGI:2685053	Ntmt2	N-terminal Xaa-Pro-Lys N-methyltransferase 2	protein coding gene	1	-	163529825	163552801
BC055324	old symbol	MGI:3590554	Firrm	FIGNL1 interacting regulator of recombination and mitosis	protein coding gene	1	-	163773562	163822365
BC055324	Genbank	MGI:3590554	Firrm	FIGNL1 interacting regulator of recombination and mitosis	protein coding gene	1	-	163773562	163822365
Dusp27	human synonym	MGI:3647127	Dusp29	dual specificity phosphatase 29	protein coding gene	14	-	21726605	21764644
Dusp27	old symbol	MGI:2685055	Styxl2	serine/threonine/tyrosine interacting like 2	protein coding gene	1	-	165925717	165955467
Gm16701.1		No associated gene							
Olfr16	old symbol	MGI:106648	Or10j5	olfactory receptor family 10 subfamily J member 5	protein coding gene	1	+	172784335	172785384
Olfr1408	old symbol	MGI:3031242	Or10j27	olfactory receptor family 10 subfamily J member 27	protein coding gene	1	-	172957767	172964901
Olfr1406	old symbol	MGI:3031240	Or10j7	olfactory receptor family 10 subfamily J member 7	protein coding gene	1	-	173011009	173012071
Olfr218	old symbol	MGI:3030052	Or10j3	olfactory receptor family 10 subfamily J member 3B	protein coding gene	1	+	173030925	173031866
Olfr1404	old symbol	MGI:3031238	Or10j3b	olfactory receptor family 10 subfamily J member 3B	protein coding gene	1	+	173043174	173044207
Olfr418	old symbol	MGI:3030252	Or10j2	olfactory receptor family 10 subfamily J member 2	protein coding gene	1	+	173097714	173098704
Olfr433	old symbol	MGI:3030267	Or10aa1	olfactory receptor family 10 subfamily AA member 1	protein coding gene	1	+	173869499	173870502
Olfr432	old symbol	MGI:3030266	Or10aa3	olfactory receptor family 10 subfamily AA member 3	protein coding gene	1	+	173877941	173878879
Olfr430	old symbol	MGI:3030264	Or6n2	olfactory receptor family 6 subfamily N member 2	protein coding gene	1	+	173896866	173897819
Olfr429	old symbol	MGI:3030263	Or6n1	olfactory receptor family 6 subfamily N member 1	protein coding gene	1	+	173916604	173917546
Olfr427	old symbol	MGI:3030261	Or6k14	olfactory receptor family 6 subfamily K member 14	protein coding gene	1	+	173927026	173927974
Olfr231	old symbol	MGI:3030065	Or6k6	olfactory receptor family 6 subfamily K member 6	protein coding gene	1	-	173944657	173945580
Olfr424	old symbol	MGI:3030258	Or6k4	olfactory receptor family 6 subfamily K member 4	protein coding gene	1	+	173964312	173965259
Olfr420	old symbol	MGI:3030254	Or6k2	olfactory receptor family 6 subfamily K member 2	protein coding gene	1	+	173986288	173987333
Olfr419	old symbol	MGI:3030253	Or10z1	olfactory receptor family 10 subfamily Z member 1	protein coding gene	1	-	174077455	174078542
Olfr417	old symbol	MGI:3030251	Or10x1	olfactory receptor family 10 subfamily X member 1	protein coding gene	1	+	174196485	174197414
Olfr248	old symbol	MGI:3030082	Or10x4	olfactory receptor family 10 subfamily X member 4	protein coding gene	1	+	174218612	174219621
Olfr414	old symbol	MGI:3030248	Or6p1	olfactory receptor family 6 subfamily P member 1	protein coding gene	1	+	174257996	174258950
Olfr220	old symbol	MGI:3030054	Or6y1	olfactory receptor family 6 subfamily Y member 1	protein coding gene	1	+	174276191	174277168
Gm38100	old symbol	MGI:2684950	Becn2	beclin 2	protein coding gene	1	+	175747895	175749791
1700016C15Rik	old symbol	MGI:1916678	Spmip3	sperm microtubule inner protein 3	protein coding gene	1	+	177557380	177580890
Adss	old symbol	MGI:87947	Adss1	adenylosuccinate synthase 1	protein coding gene	12	+	112586481	112607789
Adss	old symbol	MGI:87948	Adss2	adenylosuccinate synthase 2	protein coding gene	1	-	177590742	177624275
9130409I23Rik	old symbol	MGI:3588271	Degs1l	delta 4-desaturase, sphingolipid 1 like	protein coding gene	1	+	180878802	180888232
Gm37214	old symbol	MGI:2441799	A430073I11Rik	RIKEN cDNA A430073I11 gene	lncRNA gene	1	+	183201586	183203121
Marc1	rat synonym	MGI:1098273	Amacr	alpha-methylacyl-CoA racemase	protein coding gene	15	+	10981875	10995693
Marc1	old symbol	MGI:1913362	Mtarc1	mitochondrial amidoxime reducing component 1	protein coding gene	1	-	184518964	184543510
Marc1	rat synonym	MGI:1914497	Mtarc2	mitochondrial amidoxime reducing component 2	protein coding gene	1	-	184545265	184578648
Marc2	old symbol	MGI:1914497	Mtarc2	mitochondrial amidoxime reducing component 2	protein coding gene	1	-	184545265	184578648
Marc2	old symbol	MGI:101784	Nes	nestin	protein coding gene	3	+	87878400	87887758
Eprs	old symbol	MGI:97838	Eprs1	glutamyl-prolyl-tRNA synthetase 1	protein coding gene	1	+	185095241	185160557
Fam71a	old symbol	MGI:3588202	Garin4	golgi associated RAB2 interactor family member 4	protein coding gene	1	-	190894781	190897014
Gm45902	old symbol	MGI:5805017	Msantd7	Myb/SANT DNA binding domain containing 7	protein coding gene	2	-	3505564	3513827
AL845275.1		No associated gene							
Gm13218	old symbol	MGI:3651679	Dreg1	distal regulatory enhancer RNA of Gata3	lncRNA gene	2	-	9596029	9597749
4930412O13Rik	old symbol	MGI:1921185	Gata3os	GATA binding protein 3 opposite strand	protein coding gene	2	+	9886063	9888732
9230102O04Rik	old symbol	MGI:1924932	Gata3un	Gata3 upstream neighbor	protein coding gene	2	-	9887852	9894351
Atp5c1	old symbol	MGI:1261437	Atp5f1c	ATP synthase F1 subunit gamma	protein coding gene	2	-	10060841	10085321
Gm20539	old symbol	MGI:3781541	Gm3363	predicted gene 3363	lncRNA gene	2	-	18747526	18765673
4931423N10Rik	old symbol	MGI:1918231	Potegl	POTE ankyrin domain family, member G like	protein coding gene	2	+	23097488	23157141
Il1f8	old symbol	MGI:1916927	Il36b	interleukin 36B	protein coding gene	2	+	24043184	24050115
Il1f9	old symbol	MGI:2449929	Il36g	interleukin 36G	protein coding gene	2	+	24076488	24083579
Il1f6	old symbol	MGI:1859324	Il36a	interleukin 36A	protein coding gene	2	+	24105429	24115713
Il1f5	old symbol	MGI:1859325	Il36rn	interleukin 36 receptor antagonist	protein coding gene	2	+	24166966	24172444
Fam166a	old symbol	MGI:3605773	Cimip2a	ciliary microtubule inner protein 2A	protein coding gene	2	+	25108757	25112292
1700007K13Rik	old symbol	MGI:1916577	Pierce1	piercer of microtubule wall 1	protein coding gene	2	-	28352013	28356336
Wdr34	old symbol	MGI:1919070	Dync2i2	dynein 2 intermediate chain 2	protein coding gene	2	-	29921563	29938891
1110008P14Rik	old symbol	MGI:1920987	Bbln	bublin coiled coil protein	protein coding gene	2	-	32269120	32271877
Fam102a	old symbol	MGI:2138935	Eeig1	estrogen-induced osteoclastogenesis regulator 1	protein coding gene	2	+	32425344	32459763
Fam129b	old symbol	MGI:2442910	Niban2	niban apoptosis regulator 2	protein coding gene	2	+	32766146	32815265
Gm34653	old symbol	MGI:5593812	B3galt9	beta-1,3-galactosyltransferase 9	protein coding gene	2	+	34723019	34729740
Olfr338	old symbol	MGI:3030172	Or1j10	olfactory receptor family 1 subfamily J member 10	protein coding gene	2	+	36266790	36267710
Olfr339	old symbol	MGI:3030173	Or1j11	olfactory receptor family 1 subfamily E member 1	protein coding gene	2	+	36311412	36312341
Olfr340	old symbol	MGI:3030174	Or1j12	olfactory receptor family 1 subfamily J member 12	protein coding gene	2	+	36342599	36343537
Olfr341	old symbol	MGI:3030175	Or1j13	olfactory receptor family 1 subfamily J member 13	protein coding gene	2	-	36369199	36370140
Olfr342	old symbol	MGI:3030176	Or1j14	olfactory receptor family 1 subfamily J member 14	protein coding gene	2	+	36415010	36420802
Olfr344	old symbol	MGI:3030178	Or1j15	olfactory receptor family 1 subfamily J member 15	protein coding gene	2	+	36458612	36459541
Olfr345	old symbol	MGI:3030179	Or1j16	olfactory receptor family 1 subfamily J member 16	protein coding gene	2	+	36530053	36530988
Olfr346	old symbol	MGI:3030180	Or1j17	olfactory receptor family 1 subfamily J member 17	protein coding gene	2	+	36578016	36578945
Olfr347	old symbol	MGI:3030181	Or1j18	olfactory receptor family 1 subfamily J member 18	protein coding gene	2	+	36624335	36625273
Olfr348	old symbol	MGI:3030182	Or1j19	olfactory receptor family 1 subfamily J member 19	protein coding gene	2	+	36676539	36677480
Olfr50	old symbol	MGI:1333746	Or1j21	olfactory receptor family 1 subfamily J member 21	protein coding gene	2	+	36683250	36684188
Olfr3	old symbol	MGI:102697	Or1j1	olfactory receptor family 1 subfamily J member 1	protein coding gene	2	-	36702161	36703102
Olfr350	old symbol	MGI:3030184	Or1j4	olfactory receptor family 1 subfamily J member 4	protein coding gene	2	+	36740060	36740998
Olfr351	old symbol	MGI:3030185	Or1n1	olfactory receptor family 1 subfamily N member 1	protein coding gene	2	-	36749426	36750358
Olfr352	old symbol	MGI:3030186	Or1j20	olfactory receptor family 1 subfamily J member 20	protein coding gene	2	+	36759580	36760527
Olfr353	old symbol	MGI:3030187	Or1n1b	olfactory receptor family 1 subfamily N member 1B	protein coding gene	2	-	36779923	36780858
Olfr354	old symbol	MGI:3030188	Or1n2	olfactory receptor family 1 subfamily N member 2	protein coding gene	2	+	36796960	36797913
Olfr355	old symbol	MGI:3030189	Or1l8	olfactory receptor family 1 subfamily L member 8	protein coding gene	2	-	36817192	36818124
Olfr356	old symbol	MGI:3030190	Or1ak2	olfactory receptor family 1 subfamily AK member 2	protein coding gene	2	+	36827133	36828080
Olfr357	old symbol	MGI:3030191	Or1q1	olfactory receptor family 1 subfamily Q member 1	protein coding gene	2	+	36886824	36887750
Olfr358	old symbol	MGI:3030192	Or12k5	olfactory receptor family 12 subfamily K member 5	protein coding gene	2	-	36894632	36895624
Olfr360	old symbol	MGI:3030194	Or12k7	olfactory receptor family 12 subfamily K member 7	protein coding gene	2	+	36958319	36959272
Olfr361	old symbol	MGI:3030195	Or12k8	olfactory receptor family 12 subfamily K member 8	protein coding gene	2	-	36974790	36975758
Olfr362	old symbol	MGI:3030196	Or1b1	olfactory receptor family 1 subfamily B member 1	protein coding gene	2	-	36994707	36995660
Olfr364-ps1		No associated gene							
Olfr365	old symbol	MGI:3030199	Or1l4	olfactory receptor family 1 subfamily L member 4	protein coding gene	2	+	37082917	37092193
Olfr366	old symbol	MGI:3030200	Or1af1	olfactory receptor family 1 subfamily AF member 1	protein coding gene	2	+	37109503	37110432
Olfr368	old symbol	MGI:3030202	Or5c1	olfactory receptor family 5 subfamily C member 1	protein coding gene	2	+	37221761	37222744
March7	old symbol	MGI:1931053	Marchf7	membrane associated ring-CH-type finger 7	protein coding gene	2	+	60040086	60079555
Ccdc173	old symbol	MGI:1923100	Cfap210	cilia and flagella associated protein 210	protein coding gene	2	-	69588377	69619919
Atp5g3	old symbol	MGI:2442035	Atp5mc3	ATP synthase membrane subunit c locus 3	protein coding gene	2	-	73738791	73741670
Ttc30b	human synonym	MGI:1926052	Ift70a1	intraflagellar transport 70A1	protein coding gene	2	-	75809450	75812311
Ttc30b	human synonym	MGI:3700200	Ift70a2	intraflagellar transport 70A2	protein coding gene	2	-	75806516	75808523
Ttc30b	old symbol	MGI:1919671	Ift70b	intraflagellar transport 70B	protein coding gene	2	-	75766193	75768806
Ttc30a2	old symbol	MGI:3700200	Ift70a2	intraflagellar transport 70A2	protein coding gene	2	-	75806516	75808523
Ttc30a1	old symbol	MGI:1926052	Ift70a1	intraflagellar transport 70A1	protein coding gene	2	-	75809450	75812311
Ttc30a1	rat synonym	MGI:3700200	Ift70a2	intraflagellar transport 70A2	protein coding gene	2	-	75806516	75808523
Gm13698	old symbol	MGI:3702072	Cwc22rt1	CWC22 spliceosome-associated protein, retrotransposed 1	protein coding gene	2	+	83786037	83788529
Gm13693	old symbol	MGI:3702055	Cwc22rt2	CWC22 spliceosome-associated protein, retrotransposed 2	protein coding gene	2	+	83791847	83794339
Gm13695	old symbol	MGI:3702066	Cwc22rt3	CWC22 spliceosome-associated protein, retrotransposed 3	protein coding gene	2	+	83797657	83800149
Gm13696	old symbol	MGI:3702068	Cwc22rt4	CWC22 spliceosome-associated protein, retrotransposed 4	protein coding gene	2	+	83803467	83805959
Gm13694	old symbol	MGI:3702064	Cwc22rt5	CWC22 spliceosome-associated protein, retrotransposed 5	protein coding gene	2	+	83809277	83811769
Gm13697	old symbol	MGI:3702070	Cwc22rt7	CWC22 spliceosome-associated protein, retrotransposed 7	protein coding gene	2	+	83815087	83817579
Gm13691	old symbol	MGI:3702053	Cwc22rt6	CWC22 spliceosome-associated protein, retrotransposed 6	protein coding gene	2	+	83820897	83823389
Gm13713	old symbol	MGI:3650490	Lrrc55os	leucine rich repeat containing 55, opposite strand	lncRNA gene	2	+	85002869	85004284
Olfr987	old symbol	MGI:3030821	Or5ak4	olfactory receptor family 5 subfamily AK member 4	protein coding gene	2	-	85161311	85162240
Olfr988	old symbol	MGI:3030822	Or5ak20	olfactory receptor family 5 subfamily AK member 20	protein coding gene	2	-	85183339	85184268
Olfr992	old symbol	MGI:3030826	Or5ak22	olfactory receptor family 5 subfamily AK member 22	protein coding gene	2	-	85229946	85230875
Olfr993	old symbol	MGI:3030827	Or5ak23	olfactory receptor family 5 subfamily AK member 23	protein coding gene	2	-	85244277	85245221
Olfr994	old symbol	MGI:3030828	Or5ak24	olfactory receptor family 5 subfamily AK member 24	protein coding gene	2	-	85260227	85266537
Olfr995	old symbol	MGI:3030829	Or5ak25	olfactory receptor family 5 subfamily AK member 25	protein coding gene	2	-	85268553	85269500
4833423E24Rik	old symbol	MGI:2687041	Fads2b	fatty acid desaturase 2B	protein coding gene	2	-	85314436	85349279
Olfr996	old symbol	MGI:3030830	Or5g27	olfactory receptor family 5 subfamily G member 27	protein coding gene	2	+	85409559	85410626
Olfr998	old symbol	MGI:3030832	Or5g29	olfactory receptor family 5 subfamily G member 29	protein coding gene	2	+	85420854	85421865
Olfr1000	old symbol	MGI:3030834	Or5g23	olfactory receptor family 5 subfamily G member 23	protein coding gene	2	-	85438308	85439252
Olfr1002	old symbol	MGI:3030836	Or5g25	olfactory receptor family 5 subfamily G member 25	protein coding gene	2	-	85477707	85478663
Olfr154	old symbol	MGI:1351316	Or5g26	olfactory receptor family 5 subfamily G member 26	protein coding gene	2	-	85493721	85494799
Olfr1006	old symbol	MGI:3030840	Or9g4	olfactory receptor family 9 subfamily G member 4	protein coding gene	2	-	85504555	85509085
Olfr1008	old symbol	MGI:3030842	Or8k16	olfactory receptor family 8 subfamily K member 16	protein coding gene	2	+	85519775	85520716
Olfr1009	old symbol	MGI:3030843	Or5g9	olfactory receptor family 5 subfamily G member 9	protein coding gene	2	+	85551751	85552695
Olfr1012	old symbol	MGI:3030846	Or9g3	olfactory receptor family 9 subfamily G member 3	protein coding gene	2	-	85589783	85590718
Olfr1013	old symbol	MGI:3030847	Or9g19	olfactory receptor family 9 subfamily G member 19	protein coding gene	2	+	85600147	85601064
Olfr1014	old symbol	MGI:3030848	Or9g8	olfactory receptor family 9 subfamily G member 8	protein coding gene	2	+	85606930	85607847
Olfr1015	old symbol	MGI:3030849	Or9g4b	olfactory receptor family 9 subfamily G member 4B	protein coding gene	2	+	85615818	85616833
Olfr1016	old symbol	MGI:3030850	Or9g20	olfactory receptor family 9 subfamily G member 20	protein coding gene	2	-	85629683	85630612
Olfr1018	old symbol	MGI:3030852	Or2ah1	olfactory receptor family 2 subfamily AH member 1	protein coding gene	2	+	85653317	85654252
Olfr1019	old symbol	MGI:3030853	Or5ar1	olfactory receptor family 5 subfamily AR member 1	protein coding gene	2	-	85671201	85672133
Olfr1020	old symbol	MGI:3030854	Or5ap2	olfactory receptor family 5 subfamily AP member 2	protein coding gene	2	+	85679764	85680842
Olfr1022	old symbol	MGI:3030856	Or5m10b	olfactory receptor family 5 subfamily M member 10B	protein coding gene	2	+	85698938	85699885
Olfr1023	old symbol	MGI:3030857	Or5m10	olfactory receptor family 5 subfamily M member 10	protein coding gene	2	+	85717146	85718081
Olfr1024	old symbol	MGI:3030858	Or5m12	olfactory receptor family 5 subfamily M member 12	protein coding gene	2	-	85734413	85735396
Olfr1025-ps1		No associated gene							
Olfr1026	old symbol	MGI:3030860	Or5m13b	olfactory receptor family 5 subfamily M member 13B	protein coding gene	2	+	85753614	85754537
Olfr1028	old symbol	MGI:3031368	Or5m11	olfactory receptor family 5 subfamily M member 11	protein coding gene	2	+	85781409	85782383
Olfr1029	old symbol	MGI:3030863	Or5m11b	olfactory receptor family 5 subfamily M member 11B	protein coding gene	2	+	85805557	85806617
Olfr1030	old symbol	MGI:3030864	Or5m5	olfactory receptor family 5 subfamily M member 5	protein coding gene	2	+	85809656	85815142
Olfr1031	old symbol	MGI:3030865	Or5m8	olfactory receptor family 5 subfamily M member 8	protein coding gene	2	+	85822163	85823173
Olfr1032	old symbol	MGI:3030866	Or5m3	olfactory receptor family 5 subfamily M member 3	protein coding gene	2	+	85838122	85839054
Olfr1033	old symbol	MGI:3030867	Or5m3b	olfactory receptor family 5 subfamily M member 3B	protein coding gene	2	+	85850984	85875152
Olfr1034	old symbol	MGI:3030868	Or5m9	olfactory receptor family 5 subfamily M member 9	protein coding gene	2	+	85876788	85877810
Olfr1036	old symbol	MGI:3030870	Or5m9b	olfactory receptor family 5 subfamily M member 9B	protein coding gene	2	+	85905048	85906062
Olfr1037	old symbol	MGI:3030871	Or8u10	olfactory receptor family 8 subfamily U member 10	protein coding gene	2	-	85915074	85916198
Olfr1039	old symbol	MGI:3030873	Or5al5	olfactory receptor family 5 subfamily AL member 5	protein coding gene	2	-	85961046	85962005
Olfr1040	old symbol	MGI:3030874	Or5al6	olfactory receptor family 5 subfamily AL member 6	protein coding gene	2	-	85976135	85977076
Olfr1042	old symbol	MGI:3030876	Or5al1	olfactory receptor family 5 subfamily AL member 1	protein coding gene	2	-	85989689	85990785
Olfr1043	old symbol	MGI:3030877	Or5al7	olfactory receptor family 5 subfamily AL member 7	protein coding gene	2	-	85992347	85993291
Olfr1044	old symbol	MGI:3030878	Or8u9	olfactory receptor family 8 subfamily U member 9	protein coding gene	2	-	86001215	86002159
Olfr52	old symbol	MGI:1333748	Or8u8	olfactory receptor family 8 subfamily U member 8	protein coding gene	2	-	86011494	86012453
Olfr1045	old symbol	MGI:3030879	Or8j3	olfactory receptor family 8 subfamily J member 3	protein coding gene	2	-	86028147	86029094
Olfr1046	old symbol	MGI:3030880	Or8k1	olfactory receptor family 8 subfamily K member 1	protein coding gene	2	-	86046319	86048055
Olfr1047	old symbol	MGI:3030881	Or8k3	olfactory receptor family 8 subfamily K member 3	protein coding gene	2	-	86058354	86059313
Olfr1048	old symbol	MGI:3030882	Or8k17	olfactory receptor family 8 subfamily K member 17	protein coding gene	2	-	86066215	86067177
Olfr1049	old symbol	MGI:3030883	Or8k18	olfactory receptor family 8 subfamily K member 18	protein coding gene	2	-	86085109	86086035
Olfr1051	old symbol	MGI:3030885	Or8k20	olfactory receptor family 8 subfamily K member 20	protein coding gene	2	-	86105903	86106829
Olfr1052	old symbol	MGI:3030886	Or5j3	olfactory receptor family 5 subfamily J member 3	protein coding gene	2	+	86128162	86129100
Olfr1053	old symbol	MGI:3030887	Or8k21	olfactory receptor family 8 subfamily K member 21	protein coding gene	2	-	86144687	86145628
Olfr1054	old symbol	MGI:3030888	Or8k22	olfactory receptor family 8 subfamily K member 22	protein coding gene	2	-	86162760	86163698
Olfr1055	old symbol	MGI:3030889	Or8k53	olfactory receptor family 8 subfamily K member 53	protein coding gene	2	-	86177068	86178108
Olfr1056	old symbol	MGI:3030890	Or8k23	olfactory receptor family 8 subfamily K member 23	protein coding gene	2	-	86185703	86186781
Olfr1057	old symbol	MGI:3030891	Or8j3b	olfactory receptor family 8 subfamily J member 3B	protein coding gene	2	-	86204807	86205754
Olfr1058	old symbol	MGI:3030892	Or8k24	olfactory receptor family 8 subfamily K member 24	protein coding gene	2	-	86215810	86216760
Olfr1061	old symbol	MGI:3030895	Or8k25	olfactory receptor family 8 subfamily K member 25	protein coding gene	2	-	86243453	86244394
Olfr1062	old symbol	MGI:3030896	Or8j3c	olfactory receptor family 8 subfamily J member 3C	protein coding gene	2	-	86253063	86254018
Olfr1065	old symbol	MGI:3030899	Or8k27	olfactory receptor family 8 subfamily K member 27	protein coding gene	2	-	86275357	86276348
Olfr1066	old symbol	MGI:3030900	Or8k28	olfactory receptor family 8 subfamily K member 28	protein coding gene	2	-	86285672	86286613
Olfr228	old symbol	MGI:3030062	Or8k41	olfactory receptor family 8 subfamily K member 41	protein coding gene	2	-	86313143	86314084
Olfr1076	old symbol	MGI:3030910	Or8k30	olfactory receptor family 8 subfamily K member 30	protein coding gene	2	+	86338805	86339746
Olfr1079	old symbol	MGI:3030913	Or8k32	olfactory receptor family 8 subfamily K member 32	protein coding gene	2	-	86368310	86369257
Olfr1080	old symbol	MGI:3030914	Or8k33	olfactory receptor family 8 subfamily K member 33	protein coding gene	2	-	86383525	86388482
Olfr1082	old symbol	MGI:3030916	Or8k35	olfactory receptor family 8 subfamily K member 35	protein coding gene	2	-	86424229	86429153
Olfr1084	old symbol	MGI:3030918	Or8k37	olfactory receptor family 8 subfamily K member 37	protein coding gene	2	-	86469109	86470062
Olfr1085	old symbol	MGI:3030919	Or8k38	olfactory receptor family 8 subfamily K member 38	protein coding gene	2	-	86487859	86488800
Olfr1086	old symbol	MGI:3030920	Or5t7	olfactory receptor family 5 subfamily T member 17	protein coding gene	2	-	86506743	86507683
Olfr1087	old symbol	MGI:3030921	Or8k3b	olfactory receptor family 8 subfamily K member 3B	protein coding gene	2	-	86520376	86521317
Olfr1089	old symbol	MGI:3030923	Or8k39	olfactory receptor family 8 subfamily K member 39	protein coding gene	2	-	86563019	86563954
Olfr1090	old symbol	MGI:3030924	Or8k40	olfactory receptor family 8 subfamily K member 40	protein coding gene	2	-	86584139	86585080
Olfr1093	old symbol	MGI:3030927	Or5t5	olfactory receptor family 5 subfamily T member 5	protein coding gene	2	+	86612889	86617135
Olfr141	old symbol	MGI:2177524	Or5t18	olfactory receptor family 5 subfamily T member 18	protein coding gene	2	-	86636365	86637341
Olfr1094	old symbol	MGI:3030928	Or5t9	olfactory receptor family 5 subfamily T member 9	protein coding gene	2	+	86659020	86660166
Olfr1095	old symbol	MGI:3030929	Or5t15	olfactory receptor family 5 subfamily T member 15	protein coding gene	2	-	86681114	86682040
Gm13723	old symbol	MGI:3030930	Or8h6	olfactory receptor family 8 subfamily H member 6	protein coding gene	2	-	86703018	86705146
Olfr1097	old symbol	MGI:3030931	Or8h7	olfactory receptor family 8 subfamily H member 7	protein coding gene	2	-	86720570	86722507
Olfr1098	old symbol	MGI:3030932	Or8h8	olfactory receptor family 8 subfamily H member 8	protein coding gene	2	-	86752927	86753874
Olfr1099	old symbol	MGI:3030933	Or8h9	olfactory receptor family 8 subfamily H member 9	protein coding gene	2	-	86788862	86789800
Olfr1100	old symbol	MGI:3030934	Or8h10	olfactory receptor family 8 subfamily H member 10	protein coding gene	2	-	86808173	86809138
Olfr1101	old symbol	MGI:3030935	Or5t16	olfactory receptor family 5 subfamily T member 16	protein coding gene	2	-	86818586	86819518
