Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Chr	Strand	Start	End	Ensembl ID
Olfr1411	old symbol	MGI:3031245	Or9s15	olfactory receptor family 9 subfamily S member 15	protein coding gene	1	+	92524243	92525214	ENSMUSG00000062497
Olfr1410	old symbol	MGI:3031244	Or9s14	olfactory receptor family 9 subfamily S member 14	protein coding gene	1	+	92535561	92536529	ENSMUSG00000063583
Olfr12	old symbol	MGI:107863	Or9s13	olfactory receptor family 9 subfamily S member 13	protein coding gene	1	+	92547603	92548723	ENSMUSG00000061616
Sept2	old symbol	MGI:97298	Septin2	septin 2	protein coding gene	1	+	93406671	93437455	ENSMUSG00000026276
Sept2	old symbol	MGI:97298	Septin2	septin 2	protein coding gene	1	+	93406671	93437455	ENSMUSG00000116048
Sept2	human synonym	MGI:1888939	Septin6	septin 6	protein coding gene	X	-	36174925	36253711	ENSMUSG00000050379
Sept2.1		No associated gene								
D1Ertd622e	old symbol	MGI:1277184	Macir	macrophage immunometabolism regulator	protein coding gene	1	-	97571627	97589743	ENSMUSG00000044768
Gm15674	old symbol	MGI:3783116	Cd55os	CD55 molecule, opposite strand sequence	antisense lncRNA gene	1	+	130350561	130365651	ENSMUSG00000087691
Gm10188	current symbol	MGI:3704196	Gm10188	predicted gene 10188	protein coding gene	1	-	132156786	132157505	ENSMUSG00000066936
Zc3h11a.1		No associated gene								
Gm38394	old symbol	MGI:3828086	Zbed6	zinc finger, BED type containing 6	protein coding gene	1	-	133547678	133589056	ENSMUSG00000094410
4933406M09Rik	old symbol	MGI:3045320	Mgat4f	MGAT4 family, member F	protein coding gene	1	+	134313678	134318719	ENSMUSG00000050526
A430106G13Rik	old symbol	MGI:2443823	Mir181a-1hg	Mir181a-1 and Mir181b-1 host gene	lncRNA gene	1	+	137894269	137897656	ENSMUSG00000098206
Gm4788	old symbol	MGI:3646434	Cfhr4	complement factor H-related 4	protein coding gene	1	-	139625657	139708977	ENSMUSG00000070594
Fam129a	old symbol	MGI:2137237	Niban1	niban apoptosis regulator 1	protein coding gene	1	+	151447124	151596791	ENSMUSG00000026483
Eef1aknmt	old symbol	MGI:1918699	Mettl13	methyltransferase 13, eEF1A lysine and N-terminal methyltransferase	protein coding gene	1	-	162359694	162376098	ENSMUSG00000026694
Gm16701.1		No associated gene								
Olfr16	old symbol	MGI:106648	Or10j5	olfactory receptor family 10 subfamily J member 5	protein coding gene	1	+	172784335	172785384	ENSMUSG00000037924
Olfr1408	old symbol	MGI:3031242	Or10j27	olfactory receptor family 10 subfamily J member 27	protein coding gene	1	-	172957767	172964901	ENSMUSG00000062527
Olfr1406	old symbol	MGI:3031240	Or10j7	olfactory receptor family 10 subfamily J member 7	protein coding gene	1	-	173011009	173012071	ENSMUSG00000058981
Olfr218	old symbol	MGI:3030052	Or10j3	olfactory receptor family 10 subfamily J member 3B	protein coding gene	1	+	173030925	173031866	ENSMUSG00000046643
Olfr1404	old symbol	MGI:3031238	Or10j3b	olfactory receptor family 10 subfamily J member 3B	protein coding gene	1	+	173043174	173044207	ENSMUSG00000049456
Olfr418	old symbol	MGI:3030252	Or10j2	olfactory receptor family 10 subfamily J member 2	protein coding gene	1	+	173097714	173098704	ENSMUSG00000049605
Olfr433	old symbol	MGI:3030267	Or10aa1	olfactory receptor family 10 subfamily AA member 1	protein coding gene	1	+	173869499	173870502	ENSMUSG00000045381
Olfr432	old symbol	MGI:3030266	Or10aa3	olfactory receptor family 10 subfamily AA member 3	protein coding gene	1	+	173877941	173878879	ENSMUSG00000047048
Olfr430	old symbol	MGI:3030264	Or6n2	olfactory receptor family 6 subfamily N member 2	protein coding gene	1	+	173896866	173897819	ENSMUSG00000050134
Olfr429	old symbol	MGI:3030263	Or6n1	olfactory receptor family 6 subfamily N member 1	protein coding gene	1	+	173916604	173917546	ENSMUSG00000049528
Olfr427	old symbol	MGI:3030261	Or6k14	olfactory receptor family 6 subfamily K member 14	protein coding gene	1	+	173927026	173927974	ENSMUSG00000059371
Olfr231	old symbol	MGI:3030065	Or6k6	olfactory receptor family 6 subfamily K member 6	protein coding gene	1	-	173944657	173945580	ENSMUSG00000046486
Olfr424	old symbol	MGI:3030258	Or6k4	olfactory receptor family 6 subfamily K member 4	protein coding gene	1	+	173964312	173965259	ENSMUSG00000051528
Olfr420	old symbol	MGI:3030254	Or6k2	olfactory receptor family 6 subfamily K member 2	protein coding gene	1	+	173986288	173987333	ENSMUSG00000055033
Olfr419	old symbol	MGI:3030253	Or10z1	olfactory receptor family 10 subfamily Z member 1	protein coding gene	1	-	174077455	174078542	ENSMUSG00000050788
Olfr417	old symbol	MGI:3030251	Or10x1	olfactory receptor family 10 subfamily X member 1	protein coding gene	1	+	174196485	174197414	ENSMUSG00000066672
Olfr248	old symbol	MGI:3030082	Or10x4	olfactory receptor family 10 subfamily X member 4	protein coding gene	1	+	174218612	174219621	ENSMUSG00000059503
Olfr414	old symbol	MGI:3030248	Or6p1	olfactory receptor family 6 subfamily P member 1	protein coding gene	1	+	174257996	174258950	ENSMUSG00000051509
Olfr220	old symbol	MGI:3030054	Or6y1	olfactory receptor family 6 subfamily Y member 1	protein coding gene	1	+	174276191	174277168	ENSMUSG00000066671
Gm38100	old symbol	MGI:2684950	Becn2	beclin 2	protein coding gene	1	+	175747895	175749791	ENSMUSG00000104158
Gm38079	current symbol	MGI:5611307	Gm38079	predicted gene, 38079	lncRNA gene	1				
Gm37214	old symbol	MGI:2441799	A430073I11Rik	RIKEN cDNA A430073I11 gene	lncRNA gene	1	+	183201586	183203121	ENSMUSG00000104022
Marc1	rat synonym	MGI:1098273	Amacr	alpha-methylacyl-CoA racemase	protein coding gene	15	+	10981875	10995693	ENSMUSG00000022244
Marc1	old symbol	MGI:1913362	Mtarc1	mitochondrial amidoxime reducing component 1	protein coding gene	1	-	184518964	184543510	ENSMUSG00000026621
Marc1	rat synonym	MGI:1914497	Mtarc2	mitochondrial amidoxime reducing component 2	protein coding gene	1	-	184545265	184578648	ENSMUSG00000073481
Marc2	old symbol	MGI:1914497	Mtarc2	mitochondrial amidoxime reducing component 2	protein coding gene	1	-	184545265	184578648	ENSMUSG00000073481
Marc2	old symbol	MGI:101784	Nes	nestin	protein coding gene	3	+	87878400	87887758	ENSMUSG00000004891
Gm36388	current symbol	MGI:5595547	Gm36388	predicted gene, 36388	lncRNA gene	1	-	187253880	187323244	
Fam71a	old symbol	MGI:3588202	Garin4	golgi associated RAB2 interactor family member 4	protein coding gene	1	-	190894781	190897014	ENSMUSG00000091017
AL845275.1		No associated gene								
Gm13218	old symbol	MGI:3651679	Dreg1	distal regulatory enhancer RNA of Gata3	lncRNA gene	2	-	9596029	9597749	ENSMUSG00000079603
Gm17490	current symbol	MGI:4937124	Gm17490	predicted gene, 17490	protein coding gene	2	-	11630417	11631075	ENSMUSG00000091312
Gm20539	old symbol	MGI:3781541	Gm3363	predicted gene 3363	lncRNA gene	2	-	18747526	18765673	ENSMUSG00000092353
4931423N10Rik	old symbol	MGI:1918231	Potegl	POTE ankyrin domain family, member G like	protein coding gene	2	+	23097488	23157141	ENSMUSG00000026774
Il1f8	old symbol	MGI:1916927	Il36b	interleukin 36B	protein coding gene	2	+	24043184	24050115	ENSMUSG00000026985
Il1f9	old symbol	MGI:2449929	Il36g	interleukin 36G	protein coding gene	2	+	24076488	24083579	ENSMUSG00000044103
Il1f6	old symbol	MGI:1859324	Il36a	interleukin 36A	protein coding gene	2	+	24105429	24115713	ENSMUSG00000026984
Il1f5	old symbol	MGI:1859325	Il36rn	interleukin 36 receptor antagonist	protein coding gene	2	+	24166966	24172444	ENSMUSG00000026983
1700007K13Rik	old symbol	MGI:1916577	Pierce1	piercer of microtubule wall 1	protein coding gene	2	-	28352013	28356336	ENSMUSG00000026831
Wdr34	old symbol	MGI:1919070	Dync2i2	dynein 2 intermediate chain 2	protein coding gene	2	-	29921563	29938891	ENSMUSG00000039715
1110008P14Rik	old symbol	MGI:1920987	Bbln	bublin coiled coil protein	protein coding gene	2	-	32269120	32271877	ENSMUSG00000039195
Fam102a	old symbol	MGI:2138935	Eeig1	estrogen-induced osteoclastogenesis regulator 1	protein coding gene	2	+	32425344	32459763	ENSMUSG00000039157
Fam129b	old symbol	MGI:2442910	Niban2	niban apoptosis regulator 2	protein coding gene	2	+	32766146	32815265	ENSMUSG00000026796
Gm34653	old symbol	MGI:5593812	B3galt9	beta-1,3-galactosyltransferase 9	protein coding gene	2	+	34723019	34729740	ENSMUSG00000107167
Olfr338	old symbol	MGI:3030172	Or1j10	olfactory receptor family 1 subfamily J member 10	protein coding gene	2	+	36266790	36267710	ENSMUSG00000068950
Olfr339	old symbol	MGI:3030173	Or1j11	olfactory receptor family 1 subfamily E member 1	protein coding gene	2	+	36311412	36312341	ENSMUSG00000094464
Olfr340	old symbol	MGI:3030174	Or1j12	olfactory receptor family 1 subfamily J member 12	protein coding gene	2	+	36342599	36343537	ENSMUSG00000094266
Olfr341	old symbol	MGI:3030175	Or1j13	olfactory receptor family 1 subfamily J member 13	protein coding gene	2	-	36369199	36370140	ENSMUSG00000075387
Olfr342	old symbol	MGI:3030176	Or1j14	olfactory receptor family 1 subfamily J member 14	protein coding gene	2	+	36415010	36420802	ENSMUSG00000111869
Olfr344	old symbol	MGI:3030178	Or1j15	olfactory receptor family 1 subfamily J member 15	protein coding gene	2	+	36458612	36459541	ENSMUSG00000096822
Olfr345	old symbol	MGI:3030179	Or1j16	olfactory receptor family 1 subfamily J member 16	protein coding gene	2	+	36530053	36530988	ENSMUSG00000059251
Olfr346	old symbol	MGI:3030180	Or1j17	olfactory receptor family 1 subfamily J member 17	protein coding gene	2	+	36578016	36578945	ENSMUSG00000094764
Olfr347	old symbol	MGI:3030181	Or1j18	olfactory receptor family 1 subfamily J member 18	protein coding gene	2	+	36624335	36625273	ENSMUSG00000111863
Olfr348	old symbol	MGI:3030182	Or1j19	olfactory receptor family 1 subfamily J member 19	protein coding gene	2	+	36676539	36677480	ENSMUSG00000049315
Olfr50	old symbol	MGI:1333746	Or1j21	olfactory receptor family 1 subfamily J member 21	protein coding gene	2	+	36683250	36684188	ENSMUSG00000111021
Olfr3	old symbol	MGI:102697	Or1j1	olfactory receptor family 1 subfamily J member 1	protein coding gene	2	-	36702161	36703102	ENSMUSG00000075384
Olfr350	old symbol	MGI:3030184	Or1j4	olfactory receptor family 1 subfamily J member 4	protein coding gene	2	+	36740060	36740998	ENSMUSG00000050015
Olfr351	old symbol	MGI:3030185	Or1n1	olfactory receptor family 1 subfamily N member 1	protein coding gene	2	-	36749426	36750358	ENSMUSG00000075383
Olfr352	old symbol	MGI:3030186	Or1j20	olfactory receptor family 1 subfamily J member 20	protein coding gene	2	+	36759580	36760527	ENSMUSG00000053146
Olfr353	old symbol	MGI:3030187	Or1n1b	olfactory receptor family 1 subfamily N member 1B	protein coding gene	2	-	36779923	36780858	ENSMUSG00000075382
Olfr354	old symbol	MGI:3030188	Or1n2	olfactory receptor family 1 subfamily N member 2	protein coding gene	2	+	36796960	36797913	ENSMUSG00000055088
Olfr355	old symbol	MGI:3030189	Or1l8	olfactory receptor family 1 subfamily L member 8	protein coding gene	2	-	36817192	36818124	ENSMUSG00000075380
Olfr356	old symbol	MGI:3030190	Or1ak2	olfactory receptor family 1 subfamily AK member 2	protein coding gene	2	+	36827133	36828080	ENSMUSG00000070943
Olfr357	old symbol	MGI:3030191	Or1q1	olfactory receptor family 1 subfamily Q member 1	protein coding gene	2	+	36886824	36887750	ENSMUSG00000055838
Olfr358	old symbol	MGI:3030192	Or12k5	olfactory receptor family 12 subfamily K member 5	protein coding gene	2	-	36894632	36895624	ENSMUSG00000075379
Olfr360	old symbol	MGI:3030194	Or12k7	olfactory receptor family 12 subfamily K member 7	protein coding gene	2	+	36958319	36959272	ENSMUSG00000083361
Olfr361	old symbol	MGI:3030195	Or12k8	olfactory receptor family 12 subfamily K member 8	protein coding gene	2	-	36974790	36975758	ENSMUSG00000075378
Olfr362	old symbol	MGI:3030196	Or1b1	olfactory receptor family 1 subfamily B member 1	protein coding gene	2	-	36994707	36995660	ENSMUSG00000075377
Olfr364-ps1		No associated gene								
Olfr365	old symbol	MGI:3030199	Or1l4	olfactory receptor family 1 subfamily L member 4	protein coding gene	2	+	37082917	37092193	ENSMUSG00000059429
Olfr366	old symbol	MGI:3030200	Or1af1	olfactory receptor family 1 subfamily AF member 1	protein coding gene	2	+	37109503	37110432	ENSMUSG00000068947
Olfr368	old symbol	MGI:3030202	Or5c1	olfactory receptor family 5 subfamily C member 1	protein coding gene	2	+	37221761	37222744	ENSMUSG00000049018
Gm13587	current symbol	MGI:3712464	Gm13587	predicted gene 13587	lncRNA gene	2				
Gm11099	current symbol	MGI:3779335	Gm11099	predicted gene 11099	protein coding gene	2	+	58749446	58797630	ENSMUSG00000079353
March7	old symbol	MGI:1931053	Marchf7	membrane associated ring-CH-type finger 7	protein coding gene	2	+	60040086	60079555	ENSMUSG00000026977
Gm21830	current symbol	MGI:5433994	Gm21830	predicted gene, 21830	protein coding gene	2	+	67244069	67263430	ENSMUSG00000096240
Gm11084	current symbol	MGI:3779315	Gm11084	predicted gene 11084	protein coding gene	2	-	72801892	72817060	ENSMUSG00000079286
4930440I19Rik	current symbol	MGI:1925408	4930440I19Rik	RIKEN cDNA 4930440I19 gene	lncRNA gene	2	+	77881521	78024774	
Gm13713	old symbol	MGI:3650490	Lrrc55os	leucine rich repeat containing 55, opposite strand	lncRNA gene	2	+	85002869	85004284	ENSMUSG00000085135
Olfr987	old symbol	MGI:3030821	Or5ak4	olfactory receptor family 5 subfamily AK member 4	protein coding gene	2	-	85161311	85162240	ENSMUSG00000075223
Olfr988	old symbol	MGI:3030822	Or5ak20	olfactory receptor family 5 subfamily AK member 20	protein coding gene	2	-	85183339	85184268	ENSMUSG00000075222
Olfr992	old symbol	MGI:3030826	Or5ak22	olfactory receptor family 5 subfamily AK member 22	protein coding gene	2	-	85229946	85230875	ENSMUSG00000075221
Olfr993	old symbol	MGI:3030827	Or5ak23	olfactory receptor family 5 subfamily AK member 23	protein coding gene	2	-	85244277	85245221	ENSMUSG00000075220
Olfr994	old symbol	MGI:3030828	Or5ak24	olfactory receptor family 5 subfamily AK member 24	protein coding gene	2	-	85260227	85266537	ENSMUSG00000075219
Olfr995	old symbol	MGI:3030829	Or5ak25	olfactory receptor family 5 subfamily AK member 25	protein coding gene	2	-	85268553	85269500	ENSMUSG00000075218
4833423E24Rik	old symbol	MGI:2687041	Fads2b	fatty acid desaturase 2B	protein coding gene	2	-	85314436	85349279	ENSMUSG00000075217
Olfr996	old symbol	MGI:3030830	Or5g27	olfactory receptor family 5 subfamily G member 27	protein coding gene	2	+	85409559	85410626	ENSMUSG00000111179
Olfr998	old symbol	MGI:3030832	Or5g29	olfactory receptor family 5 subfamily G member 29	protein coding gene	2	+	85420854	85421865	ENSMUSG00000111454
Olfr1000	old symbol	MGI:3030834	Or5g23	olfactory receptor family 5 subfamily G member 23	protein coding gene	2	-	85438308	85439252	ENSMUSG00000075215
Olfr1002	old symbol	MGI:3030836	Or5g25	olfactory receptor family 5 subfamily G member 25	protein coding gene	2	-	85477707	85478663	ENSMUSG00000075214
Olfr154	old symbol	MGI:1351316	Or5g26	olfactory receptor family 5 subfamily G member 26	protein coding gene	2	-	85493721	85494799	ENSMUSG00000075212
Olfr1006	old symbol	MGI:3030840	Or9g4	olfactory receptor family 9 subfamily G member 4	protein coding gene	2	-	85504555	85509085	ENSMUSG00000075211
Olfr1008	old symbol	MGI:3030842	Or8k16	olfactory receptor family 8 subfamily K member 16	protein coding gene	2	+	85519775	85520716	ENSMUSG00000050603
Olfr1009	old symbol	MGI:3030843	Or5g9	olfactory receptor family 5 subfamily G member 9	protein coding gene	2	+	85551751	85552695	ENSMUSG00000043226
Olfr1012	old symbol	MGI:3030846	Or9g3	olfactory receptor family 9 subfamily G member 3	protein coding gene	2	-	85589783	85590718	ENSMUSG00000075210
Olfr1013	old symbol	MGI:3030847	Or9g19	olfactory receptor family 9 subfamily G member 19	protein coding gene	2	+	85600147	85601064	ENSMUSG00000053287
Olfr1014	old symbol	MGI:3030848	Or9g8	olfactory receptor family 9 subfamily G member 8	protein coding gene	2	+	85606930	85607847	ENSMUSG00000059379
Olfr1015	old symbol	MGI:3030849	Or9g4b	olfactory receptor family 9 subfamily G member 4B	protein coding gene	2	+	85615818	85616833	ENSMUSG00000033850
Olfr1016	old symbol	MGI:3030850	Or9g20	olfactory receptor family 9 subfamily G member 20	protein coding gene	2	-	85629683	85630612	ENSMUSG00000075209
Olfr1018	old symbol	MGI:3030852	Or2ah1	olfactory receptor family 2 subfamily AH member 1	protein coding gene	2	+	85653317	85654252	ENSMUSG00000043892
Olfr1019	old symbol	MGI:3030853	Or5ar1	olfactory receptor family 5 subfamily AR member 1	protein coding gene	2	-	85671201	85672133	ENSMUSG00000075208
Olfr1020	old symbol	MGI:3030854	Or5ap2	olfactory receptor family 5 subfamily AP member 2	protein coding gene	2	+	85679764	85680842	ENSMUSG00000046975
Olfr1022	old symbol	MGI:3030856	Or5m10b	olfactory receptor family 5 subfamily M member 10B	protein coding gene	2	+	85698938	85699885	ENSMUSG00000057761
Olfr1023	old symbol	MGI:3030857	Or5m10	olfactory receptor family 5 subfamily M member 10	protein coding gene	2	+	85717146	85718081	ENSMUSG00000050128
Olfr1024	old symbol	MGI:3030858	Or5m12	olfactory receptor family 5 subfamily M member 12	protein coding gene	2	-	85734413	85735396	ENSMUSG00000075206
Olfr1025-ps1		No associated gene								
Olfr1026	old symbol	MGI:3030860	Or5m13b	olfactory receptor family 5 subfamily M member 13B	protein coding gene	2	+	85753614	85754537	ENSMUSG00000042863
Olfr1028	old symbol	MGI:3031368	Or5m11	olfactory receptor family 5 subfamily M member 11	protein coding gene	2	+	85781409	85782383	ENSMUSG00000057207
Olfr1029	old symbol	MGI:3030863	Or5m11b	olfactory receptor family 5 subfamily M member 11B	protein coding gene	2	+	85805557	85806617	ENSMUSG00000059873
Olfr1030	old symbol	MGI:3030864	Or5m5	olfactory receptor family 5 subfamily M member 5	protein coding gene	2	+	85809656	85815142	ENSMUSG00000044923
Olfr1031	old symbol	MGI:3030865	Or5m8	olfactory receptor family 5 subfamily M member 8	protein coding gene	2	+	85822163	85823173	ENSMUSG00000043267
Olfr1032	old symbol	MGI:3030866	Or5m3	olfactory receptor family 5 subfamily M member 3	protein coding gene	2	+	85838122	85839054	ENSMUSG00000042796
Olfr1033	old symbol	MGI:3030867	Or5m3b	olfactory receptor family 5 subfamily M member 3B	protein coding gene	2	+	85850984	85875152	ENSMUSG00000045392
Olfr1034	old symbol	MGI:3030868	Or5m9	olfactory receptor family 5 subfamily M member 9	protein coding gene	2	+	85876788	85877810	ENSMUSG00000102091
Olfr1036	old symbol	MGI:3030870	Or5m9b	olfactory receptor family 5 subfamily M member 9B	protein coding gene	2	+	85905048	85906062	ENSMUSG00000099820
Olfr1037	old symbol	MGI:3030871	Or8u10	olfactory receptor family 8 subfamily U member 10	protein coding gene	2	-	85915074	85916198	ENSMUSG00000075205
Olfr1039	old symbol	MGI:3030873	Or5al5	olfactory receptor family 5 subfamily AL member 5	protein coding gene	2	-	85961046	85962005	ENSMUSG00000075204
Olfr1040	old symbol	MGI:3030874	Or5al6	olfactory receptor family 5 subfamily AL member 6	protein coding gene	2	-	85976135	85977076	ENSMUSG00000075203
Olfr1042	old symbol	MGI:3030876	Or5al1	olfactory receptor family 5 subfamily AL member 1	protein coding gene	2	-	85989689	85990785	ENSMUSG00000075202
Olfr1043	old symbol	MGI:3030877	Or5al7	olfactory receptor family 5 subfamily AL member 7	protein coding gene	2	-	85992347	85993291	ENSMUSG00000075201
Olfr1044	old symbol	MGI:3030878	Or8u9	olfactory receptor family 8 subfamily U member 9	protein coding gene	2	-	86001215	86002159	ENSMUSG00000075200
Olfr52	old symbol	MGI:1333748	Or8u8	olfactory receptor family 8 subfamily U member 8	protein coding gene	2	-	86011494	86012453	ENSMUSG00000075199
Olfr1045	old symbol	MGI:3030879	Or8j3	olfactory receptor family 8 subfamily J member 3	protein coding gene	2	-	86028147	86029094	ENSMUSG00000075198
Olfr1046	old symbol	MGI:3030880	Or8k1	olfactory receptor family 8 subfamily K member 1	protein coding gene	2	-	86046319	86048055	ENSMUSG00000075197
Olfr1047	old symbol	MGI:3030881	Or8k3	olfactory receptor family 8 subfamily K member 3	protein coding gene	2	-	86058354	86059313	ENSMUSG00000075196
Olfr1048	old symbol	MGI:3030882	Or8k17	olfactory receptor family 8 subfamily K member 17	protein coding gene	2	-	86066215	86067177	ENSMUSG00000075195
Olfr1049	old symbol	MGI:3030883	Or8k18	olfactory receptor family 8 subfamily K member 18	protein coding gene	2	-	86085109	86086035	ENSMUSG00000075194
Olfr1051	old symbol	MGI:3030885	Or8k20	olfactory receptor family 8 subfamily K member 20	protein coding gene	2	-	86105903	86106829	ENSMUSG00000075193
Olfr1052	old symbol	MGI:3030886	Or5j3	olfactory receptor family 5 subfamily J member 3	protein coding gene	2	+	86128162	86129100	ENSMUSG00000047149
Olfr1053	old symbol	MGI:3030887	Or8k21	olfactory receptor family 8 subfamily K member 21	protein coding gene	2	-	86144687	86145628	ENSMUSG00000075192
Olfr1054	old symbol	MGI:3030888	Or8k22	olfactory receptor family 8 subfamily K member 22	protein coding gene	2	-	86162760	86163698	ENSMUSG00000075190
Olfr1055	old symbol	MGI:3030889	Or8k53	olfactory receptor family 8 subfamily K member 53	protein coding gene	2	-	86177068	86178108	ENSMUSG00000075189
Olfr1056	old symbol	MGI:3030890	Or8k23	olfactory receptor family 8 subfamily K member 23	protein coding gene	2	-	86185703	86186781	ENSMUSG00000075188
Olfr1057	old symbol	MGI:3030891	Or8j3b	olfactory receptor family 8 subfamily J member 3B	protein coding gene	2	-	86204807	86205754	ENSMUSG00000075187
Olfr1058	old symbol	MGI:3030892	Or8k24	olfactory receptor family 8 subfamily K member 24	protein coding gene	2	-	86215810	86216760	ENSMUSG00000075186
Olfr1061	old symbol	MGI:3030895	Or8k25	olfactory receptor family 8 subfamily K member 25	protein coding gene	2	-	86243453	86244394	ENSMUSG00000075185
Olfr1062	old symbol	MGI:3030896	Or8j3c	olfactory receptor family 8 subfamily J member 3C	protein coding gene	2	-	86253063	86254018	ENSMUSG00000090059
Olfr1065	old symbol	MGI:3030899	Or8k27	olfactory receptor family 8 subfamily K member 27	protein coding gene	2	-	86275357	86276348	ENSMUSG00000111306
Olfr1066	old symbol	MGI:3030900	Or8k28	olfactory receptor family 8 subfamily K member 28	protein coding gene	2	-	86285672	86286613	ENSMUSG00000075181
Olfr228	old symbol	MGI:3030062	Or8k41	olfactory receptor family 8 subfamily K member 41	protein coding gene	2	-	86313143	86314084	ENSMUSG00000111772
Olfr1076	old symbol	MGI:3030910	Or8k30	olfactory receptor family 8 subfamily K member 30	protein coding gene	2	+	86338805	86339746	ENSMUSG00000060742
Olfr1079	old symbol	MGI:3030913	Or8k32	olfactory receptor family 8 subfamily K member 32	protein coding gene	2	-	86368310	86369257	ENSMUSG00000075179
Olfr1080	old symbol	MGI:3030914	Or8k33	olfactory receptor family 8 subfamily K member 33	protein coding gene	2	-	86383525	86388482	ENSMUSG00000110912
Olfr1082	old symbol	MGI:3030916	Or8k35	olfactory receptor family 8 subfamily K member 35	protein coding gene	2	-	86424229	86429153	ENSMUSG00000111689
Olfr1084	old symbol	MGI:3030918	Or8k37	olfactory receptor family 8 subfamily K member 37	protein coding gene	2	-	86469109	86470062	ENSMUSG00000110804
Olfr1085	old symbol	MGI:3030919	Or8k38	olfactory receptor family 8 subfamily K member 38	protein coding gene	2	-	86487859	86488800	ENSMUSG00000075176
Olfr1086	old symbol	MGI:3030920	Or5t7	olfactory receptor family 5 subfamily T member 17	protein coding gene	2	-	86506743	86507683	ENSMUSG00000075175
Olfr1087	old symbol	MGI:3030921	Or8k3b	olfactory receptor family 8 subfamily K member 3B	protein coding gene	2	-	86520376	86521317	ENSMUSG00000075174
Olfr1089	old symbol	MGI:3030923	Or8k39	olfactory receptor family 8 subfamily K member 39	protein coding gene	2	-	86563019	86563954	ENSMUSG00000111711
Olfr1090	old symbol	MGI:3030924	Or8k40	olfactory receptor family 8 subfamily K member 40	protein coding gene	2	-	86584139	86585080	ENSMUSG00000075172
Olfr1093	old symbol	MGI:3030927	Or5t5	olfactory receptor family 5 subfamily T member 5	protein coding gene	2	+	86612889	86617135	ENSMUSG00000047969
Olfr141	old symbol	MGI:2177524	Or5t18	olfactory receptor family 5 subfamily T member 18	protein coding gene	2	-	86636365	86637341	ENSMUSG00000078420
Olfr1094	old symbol	MGI:3030928	Or5t9	olfactory receptor family 5 subfamily T member 9	protein coding gene	2	+	86659020	86660166	ENSMUSG00000044213
