Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Chr	Strand	Start	End
Phf3	current symbol	MGI:2446126	Phf3	PHD finger protein 3	protein coding gene	1	-	30841423	30912989
Ptp4a1	current symbol	MGI:1277096	Ptp4a1	protein tyrosine phosphatase 4a1	protein coding gene	1	-	30979384	30988846
Ptp4a1.1		No associated gene							
Gm5698	current symbol	MGI:3649020	Gm5698	predicted gene 5698	protein coding gene	1	-	31016327	31017049
4931428L18Rik	current symbol	MGI:1918238	4931428L18Rik	RIKEN cDNA 4931428L18 gene	protein coding gene	1	-	31180159	31261737
Gm28644	current symbol	MGI:5579350	Gm28644	predicted gene 28644	lncRNA gene	1	+	31081000	31082756
Gm29128	current symbol	MGI:5579834	Gm29128	predicted gene 29128	lncRNA gene	1	+	31175107	31189186
Lgsn	current symbol	MGI:2672844	Lgsn	lengsin, lens protein with glutamine synthetase domain	protein coding gene	1	+	31215482	31243806
Pih1d3		No associated gene							
Khdrbs2	current symbol	MGI:2159649	Khdrbs2	KH domain containing, RNA binding, signal transduction associated 2	protein coding gene	1	+	32211795	32697649
Gm5415		No associated gene							
Gm37724	current symbol	MGI:5610952	Gm37724	predicted gene, 37724	lncRNA gene	1	+	33104211	33105431
Gm37591	current symbol	MGI:5610819	Gm37591	predicted gene, 37591	lncRNA gene	1	-	33251855	33254556
Prim2	current symbol	MGI:97758	Prim2	DNA primase, p58 subunit	protein coding gene	1	-	33492891	33708876
Rab23	current symbol	MGI:99833	Rab23	RAB23, member RAS oncogene family	protein coding gene	1	+	33758968	33781645
Bag2	current symbol	MGI:1891254	Bag2	BCL2-associated athanogene 2	protein coding gene	1	-	33784565	33796831
Zfp451	current symbol	MGI:2137896	Zfp451	zinc finger protein 451	protein coding gene	1	-	33800626	33853676
Bend6	current symbol	MGI:2444572	Bend6	BEN domain containing 6	protein coding gene	1	-	33891133	33946897
Dst	current symbol	MGI:104627	Dst	dystonin	protein coding gene	1	+	33947306	34347742
Gm26788	current symbol	MGI:5477282	Gm26788	predicted gene, 26788	lncRNA gene	1	-	34204926	34217245
Gm37958	current symbol	MGI:5611186	Gm37958	predicted gene, 37958	lncRNA gene	1	-	34368514	34369388
Gm37233	current symbol	MGI:5610461	Gm37233	predicted gene, 37233	lncRNA gene	1	-	34466083	34472421
Ccdc115	current symbol	MGI:1916918	Ccdc115	coiled-coil domain containing 115	protein coding gene	1	-	34475751	34478753
Gm28306	current symbol	MGI:5579012	Gm28306	predicted gene 28306	lncRNA gene	1	-	34478592	34483811
Imp4	current symbol	MGI:106572	Imp4	IMP4, U3 small nucleolar ribonucleoprotein	protein coding gene	1	+	34478558	34484828
Ptpn18	current symbol	MGI:108410	Ptpn18	protein tyrosine phosphatase, non-receptor type 18	protein coding gene	1	+	34498843	34514814
Gm28417	current symbol	MGI:5579123	Gm28417	predicted gene 28417	lncRNA gene	1	-	34508941	34510579
4930568A12Rik	current symbol	MGI:1923133	4930568A12Rik	RIKEN cDNA 4930568A12 gene	lncRNA gene	1	-	34516248	34525072
Prss39	current symbol	MGI:1270856	Prss39	serine protease 39	protein coding gene	1	+	34537493	34542143
Cfc1	current symbol	MGI:109448	Cfc1	cryptic, EGF-CFC family member 1	protein coding gene	1	+	34574729	34583392
Prss40	current symbol	MGI:1270857	Prss40	serine protease 40	protein coding gene	1	-	34583049	34600024
1700101I19Rik	current symbol	MGI:1920839	1700101I19Rik	RIKEN cDNA 1700101I19 gene	lncRNA gene	1	-	34618283	34618792
Amer3	current symbol	MGI:3026939	Amer3	APC membrane recruitment 3	protein coding gene	1	+	34618738	34630025
Arhgef4	current symbol	MGI:2442507	Arhgef4	Rho guanine nucleotide exchange factor 4	protein coding gene	1	+	34717051	34851835
Arhgef4.1		No associated gene							
Gm38336	current symbol	MGI:5611564	Gm38336	predicted gene, 38336	lncRNA gene	1	-	34848441	34850989
Fam168b	current symbol	MGI:2448487	Fam168b	family with sequence similarity 168, member B	protein coding gene	1	-	34852299	34882141
Plekhb2	current symbol	MGI:2385825	Plekhb2	pleckstrin homology domain containing, family B (evectins) member 2	protein coding gene	1	+	34889057	34918661
Gm37068	current symbol	MGI:5610296	Gm37068	predicted gene, 37068	lncRNA gene	1	-	35664687	35690378
Gm28415	current symbol	MGI:5579121	Gm28415	predicted gene 28415	lncRNA gene	1	+	35846055	35849543
1110002O04Rik	current symbol	MGI:1915733	1110002O04Rik	RIKEN cDNA 1110002O04 gene	lncRNA gene	1	+	35918926	35920200
Gm37146	current symbol	MGI:5610374	Gm37146	predicted gene, 37146	lncRNA gene	1	-	36021041	36025454
Gm33222	current symbol	MGI:5592381	Gm33222	predicted gene, 33222	lncRNA gene	1	-	36042065	36050125
4930535G08Rik	current symbol	MGI:1925283	4930535G08Rik	RIKEN cDNA 4930535G08 gene	lncRNA gene	1	+	36050153	36050975
Hs6st1	current symbol	MGI:1354958	Hs6st1	heparan sulfate 6-O-sulfotransferase 1	protein coding gene	1	+	36107481	36145527
Gm37335	current symbol	MGI:5610563	Gm37335	predicted gene, 37335	lncRNA gene	1	-	36144465	36145527
Gm33280	current symbol	MGI:5592439	Gm33280	predicted gene, 33280	lncRNA gene	1	+	36171066	36176302
Uggt1	current symbol	MGI:2443162	Uggt1	UDP-glucose glycoprotein glucosyltransferase 1	protein coding gene	1	-	36179109	36283407
Neurl3	current symbol	MGI:2429944	Neurl3	neuralized E3 ubiquitin protein ligase 3	protein coding gene	1	-	36303683	36313755
Arid5a	current symbol	MGI:2443039	Arid5a	AT-rich interaction domain 5A	protein coding gene	1	+	36346814	36363110
4930403P22Rik	current symbol	MGI:1921057	4930403P22Rik	RIKEN cDNA 4930403P22 gene	lncRNA gene	1	+	36371789	36372501
Kansl3	current symbol	MGI:1918055	Kansl3	KAT8 regulatory NSL complex subunit 3	protein coding gene	1	-	36374811	36408262
Fer1l5	current symbol	MGI:3616091	Fer1l5	fer-1 like family member 5	protein coding gene	1	+	36411372	36461191
Lman2l	current symbol	MGI:2443010	Lman2l	lectin, mannose-binding 2-like	protein coding gene	1	-	36458952	36484352
Cnnm4	current symbol	MGI:2151060	Cnnm4	cyclin M4	protein coding gene	1	+	36510701	36547845
Cnnm3	current symbol	MGI:2151055	Cnnm3	cyclin M3	protein coding gene	1	+	36550948	36567318
Gm38033	current symbol	MGI:5611261	Gm38033	predicted gene, 38033	lncRNA gene	1	-	36566615	36567318
Ankrd23	current symbol	MGI:1925571	Ankrd23	ankyrin repeat domain 23	protein coding gene	1	-	36569269	36575964
Ankrd39	current symbol	MGI:1914816	Ankrd39	ankyrin repeat domain 39	protein coding gene	1	-	36577252	36586333
Sema4c	current symbol	MGI:109252	Sema4c	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C	protein coding gene	1	-	36587720	36597430
D430040D24Rik	current symbol	MGI:2442526	D430040D24Rik	RIKEN cDNA D430040D24 gene	lncRNA gene	1	+	36596782	36604694
Fam178b	current symbol	MGI:3026913	Fam178b	family with sequence similarity 178, member B	protein coding gene	1	-	36601773	36722264
Cox5b	current symbol	MGI:88475	Cox5b	cytochrome c oxidase subunit 5B	protein coding gene	1	+	36730568	36732469
Actr1b	current symbol	MGI:1917446	Actr1b	ARP1 actin-related protein 1B, centractin beta	protein coding gene	1	-	36737195	36749081
4933424G06Rik	current symbol	MGI:1918416	4933424G06Rik	RIKEN cDNA 4933424G06 gene	protein coding gene	1	+	36749230	36797034
Gm33533	current symbol	MGI:5592692	Gm33533	predicted gene, 33533	lncRNA gene	1	-	36778129	36783873
Zap70	current symbol	MGI:99613	Zap70	zeta-chain (TCR) associated protein kinase	protein coding gene	1	+	36800879	36821899
Tmem131	current symbol	MGI:1927110	Tmem131	transmembrane protein 131	protein coding gene	1	-	36831270	36978714
Gm38115	current symbol	MGI:5611343	Gm38115	predicted gene, 38115	lncRNA gene	1	-	36952682	36955620
Vwa3b	current symbol	MGI:1918103	Vwa3b	von Willebrand factor A domain containing 3B	protein coding gene	1	+	37068372	37226689
Gm37020	current symbol	MGI:5610248	Gm37020	predicted gene, 37020	lncRNA gene	1	-	37171354	37172345
Cnga3	current symbol	MGI:1341818	Cnga3	cyclic nucleotide gated channel alpha 3	protein coding gene	1	+	37257317	37302465
Inpp4a	current symbol	MGI:1931123	Inpp4a	inositol polyphosphate-4-phosphatase, type I	protein coding gene	1	+	37338946	37449817
4930439A04Rik	current symbol	MGI:1925369	4930439A04Rik	RIKEN cDNA 4930439A04 gene	lncRNA gene	1	-	37368748	37373253
Coa5	current symbol	MGI:1923428	Coa5	cytochrome C oxidase assembly factor 5	protein coding gene	1	-	37456166	37469184
Unc50	current symbol	MGI:1914637	Unc50	unc-50 homolog	protein coding gene	1	+	37469220	37478068
Mgat4a	current symbol	MGI:2662992	Mgat4a	mannoside acetylglucosaminyltransferase 4, isoenzyme A	protein coding gene	1	-	37478421	37580097
2010300C02Rik		No associated gene							
4930556I23Rik	current symbol	MGI:1922520	4930556I23Rik	RIKEN cDNA 4930556I23 gene	lncRNA gene	1	+	37653588	37654454
Tsga10	current symbol	MGI:2685063	Tsga10	testis specific 10	protein coding gene	1	-	37793857	37905510
Gm26805	current symbol	MGI:5477299	Gm26805	predicted gene, 26805	lncRNA gene	1	+	37904380	37910469
Lipt1	current symbol	MGI:3645211	Lipt1	lipoyltransferase 1	protein coding gene	1	+	37910819	37915309
Mitd1	current symbol	MGI:1916278	Mitd1	MIT, microtubule interacting and transport, domain containing 1	protein coding gene	1	-	37913882	37929492
Mrpl30	current symbol	MGI:1333820	Mrpl30	mitochondrial ribosomal protein L30	protein coding gene	1	+	37929558	37937419
Lyg2	current symbol	MGI:2685622	Lyg2	lysozyme G-like 2	protein coding gene	1	-	37945004	37955574
Gm15457	current symbol	MGI:3705190	Gm15457	predicted gene 15457	lncRNA gene	1	+	37972677	37993217
Lyg1	current symbol	MGI:1916791	Lyg1	lysozyme G-like 1	protein coding gene	1	-	37985819	37996840
Txndc9	current symbol	MGI:2138153	Txndc9	thioredoxin domain containing 9	protein coding gene	1	-	38024270	38036974
Eif5b	current symbol	MGI:2441772	Eif5b	eukaryotic translation initiation factor 5B	protein coding gene	1	+	38037091	38094660
Rev1	current symbol	MGI:1929074	Rev1	REV1, DNA directed polymerase	protein coding gene	1	-	38091867	38168882
Gm37062	current symbol	MGI:5610290	Gm37062	predicted gene, 37062	lncRNA gene	1	-	38115376	38116386
Gm5099	current symbol	MGI:3644917	Gm5099	predicted gene 5099	lncRNA gene	1	+	38171164	38198973
Aff3	current symbol	MGI:106927	Aff3	AF4/FMR2 family, member 3	protein coding gene	1	-	38216407	38704036
Gm16150	current symbol	MGI:3801827	Gm16150	predicted gene 16150	lncRNA gene	1	+	38274501	38285747
Gm16151	current symbol	MGI:3801826	Gm16151	predicted gene 16151	lncRNA gene	1	+	38346983	38351011
Gm16152	current symbol	MGI:3802058	Gm16152	predicted gene 16152	lncRNA gene	1	+	38424030	38433055
Lonrf2	current symbol	MGI:1920209	Lonrf2	LON peptidase N-terminal domain and ring finger 2	protein coding gene	1	-	38832750	38875768
Chst10	current symbol	MGI:2138283	Chst10	carbohydrate sulfotransferase 10	protein coding gene	1	-	38902948	38937242
Gm37707	current symbol	MGI:5610935	Gm37707	predicted gene, 37707	lncRNA gene	1	+	38923835	38927153
Nms	current symbol	MGI:3583618	Nms	neuromedin S	protein coding gene	1	+	38978230	38989357
Pdcl3	current symbol	MGI:1916083	Pdcl3	phosducin-like 3	protein coding gene	1	+	39026895	39036317
Gm37821	current symbol	MGI:5611049	Gm37821	predicted gene, 37821	lncRNA gene	1	-	39087729	39096718
Npas2	current symbol	MGI:109232	Npas2	neuronal PAS domain protein 2	protein coding gene	1	+	39233013	39402321
Rpl31	current symbol	MGI:2149632	Rpl31	ribosomal protein L31	protein coding gene	1	+	39406932	39410992
Tbc1d8	current symbol	MGI:1927225	Tbc1d8	TBC1 domain family, member 8	protein coding gene	1	-	39410573	39517836
Cnot11	current symbol	MGI:106580	Cnot11	CCR4-NOT transcription complex, subunit 11	protein coding gene	1	+	39574782	39585962
Gm15832	current symbol	MGI:3834078	Gm15832	predicted gene 15832	lncRNA gene	1	-	39586651	39591083
Rnf149	current symbol	MGI:2677438	Rnf149	ring finger protein 149	protein coding gene	1	-	39590377	39616486
Creg2	current symbol	MGI:1928333	Creg2	cellular repressor of E1A-stimulated genes 2	protein coding gene	1	-	39657574	39690350
D930019O06Rik	current symbol	MGI:3043219	D930019O06Rik	RIKEN cDNA D930019O06	lncRNA gene	1	+	39690636	39697579
