"mgi_symbol"	"ensembl_gene_id"	"chromosome_name"	"start_position"	"end_position"	"Feature.Type"
"1700019E08Rik"	"ENSMUSG00000086202"	"2"	45586617	45588459	"RNA"
"1700019P21Rik"	"ENSMUSG00000099808"	"1"	138804010	138804689	"RNA"
"1700020A23Rik"	"ENSMUSG00000027409"	"2"	130247179	130247994	"RNA"
"1700020N18Rik"	"ENSMUSG00000100253"	"1"	91332601	91333751	"RNA"
"1700021F07Rik"	"ENSMUSG00000027518"	"2"	173364379	173370294	"RNA"
"1700023G09Rik"	"ENSMUSG00000103503"	"1"	186659130	186662309	"RNA"
"1700025C18Rik"	"ENSMUSG00000078935"	"2"	164920613	164932670	"RNA"
"1700025G04Rik"	"ENSMUSG00000032666"	"1"	151728154	151965876	"RNA"
"1700026D11Rik"	"ENSMUSG00000086379"	"2"	132332554	132365977	"RNA"
"1700027A15Rik"	"ENSMUSG00000101968"	"1"	73024003	73064666	"RNA"
"1700027H10Rik"	"ENSMUSG00000100799"	"3"	45371019	45393745	"RNA"
"1700028P15Rik"	"ENSMUSG00000086823"	"2"	171798799	171804744	"RNA"
"1700029M03Rik"	"ENSMUSG00000101189"	"1"	164788490	164790394	"RNA"
"1700030C14Rik"	"ENSMUSG00000087148"	"2"	152494802	152496250	"RNA"
"1700034H15Rik"	"ENSMUSG00000055833"	"1"	191618242	191639639	"RNA"
"1700034P13Rik"	"ENSMUSG00000097893"	"1"	9817873	9862152	"RNA"
"1700037H04Rik"	"ENSMUSG00000027327"	"2"	130988244	131002001	"RNA"
"1700047M11Rik"	"ENSMUSG00000100147"	"1"	182115506	182130890	"RNA"
"1700052H01Rik"	"ENSMUSG00000105297"	"3"	41308582	41348024	"RNA"
"1700054K02Rik"	"ENSMUSG00000097001"	"1"	92500096	92500471	"RNA"
"1700054M17Rik"	"ENSMUSG00000085889"	"2"	118135395	118138647	"RNA"
"1700056E22Rik"	"ENSMUSG00000044854"	"1"	183765227	183766498	"RNA"
"1700057H21Rik"	"ENSMUSG00000086007"	"2"	51310996	51328797	"RNA"
"1700060C20Rik"	"ENSMUSG00000078957"	"2"	158033928	158037669	"RNA"
"1700061F12Rik"	"ENSMUSG00000085580"	"2"	9194326	9202288	"RNA"
"1700063A18Rik"	"ENSMUSG00000100062"	"1"	95918384	95949483	"RNA"
"1700064H15Rik"	"ENSMUSG00000082766"	"3"	19664532	19682841	"RNA"
"1700065J18Rik"	"ENSMUSG00000100872"	"1"	192523969	192525048	"RNA"
"1700066B17Rik"	"ENSMUSG00000101634"	"1"	39878335	39886494	"RNA"
"1700066M21Rik"	"ENSMUSG00000038323"	"1"	57416779	57424582	"RNA"
"1700067G17Rik"	"ENSMUSG00000099378"	"1"	88943835	88949932	"RNA"
"1700072G22Rik"	"ENSMUSG00000101702"	"1"	51497091	51498090	"RNA"
"1700080N15Rik"	"ENSMUSG00000084859"	"2"	4136874	4145952	"RNA"
"1700084E18Rik"	"ENSMUSG00000100747"	"2"	30126807	30128235	"RNA"
"1700092C17Rik"	"ENSMUSG00000085353"	"2"	22645996	22652285	"RNA"
"1700101I19Rik"	"ENSMUSG00000045815"	"1"	34618283	34618792	"RNA"
"1700108N11Rik"	"ENSMUSG00000084837"	"2"	144173379	144174559	"RNA"
"1700112D23Rik"	"ENSMUSG00000091329"	"3"	28756816	28835313	"RNA"
"1700112H15Rik"	"ENSMUSG00000101574"	"1"	184260038	184289888	"RNA"
"1700121L03Rik"	"ENSMUSG00000099574"	"1"	125118019	125125192	"RNA"
"1700122D07Rik"	"ENSMUSG00000101409"	"1"	59573970	59576388	"RNA"
"1700125G22Rik"	"ENSMUSG00000097584"	"3"	27208175	27211168	"RNA"
"1700126A01Rik"	"ENSMUSG00000099945"	"1"	57166499	57168559	"RNA"
"1810006J02Rik"	"ENSMUSG00000100182"	"1"	98059154	98073990	"RNA"
"1810010K12Rik"	"ENSMUSG00000056329"	"2"	19456639	19459808	"RNA"
"1810012K08Rik"	"ENSMUSG00000087595"	"2"	26028558	26029555	"RNA"
"1810024B03Rik"	"ENSMUSG00000044145"	"2"	127028275	127050200	"RNA"
"1810059C17Rik"	"ENSMUSG00000086340"	"2"	18059004	18061424	"RNA"
"1810062G17Rik"	"ENSMUSG00000027713"	"3"	36530086	36536448	"RNA"
"2010009K17Rik"	"ENSMUSG00000100860"	"2"	157912287	157933717	"RNA"
"2010103J01Rik"	"ENSMUSG00000104368"	"1"	185044384	185046000	"RNA"
"2210011K15Rik"	"ENSMUSG00000101791"	"1"	121282845	121287629	"RNA"
"2210411M09Rik"	"ENSMUSG00000085563"	"1"	180779629	180785714	"RNA"
"2210418O10Rik"	"ENSMUSG00000078894"	"2"	175968362	175982121	"RNA"
"2310001K24Rik"	"ENSMUSG00000053353"	"2"	163313877	163314925	"RNA"
"2310005A03Rik"	"ENSMUSG00000087254"	"2"	154939709	154942001	"RNA"
"2310009B15Rik"	"ENSMUSG00000079283"	"1"	138779721	138784590	"RNA"
"2310015K22Rik"	"ENSMUSG00000101257"	"1"	80202761	80207332	"RNA"
"2310016D23Rik"	"ENSMUSG00000085965"	"1"	60817899	60842949	"RNA"
"2310030A07Rik"	"ENSMUSG00000099447"	"1"	150196432	150222522	"RNA"
"2310043L19Rik"	"ENSMUSG00000101746"	"1"	177469108	177470509	"RNA"
"2400006E01Rik"	"ENSMUSG00000106223"	"3"	41475682	41482909	"RNA"
"2500004C02Rik"	"ENSMUSG00000073236"	"2"	153183077	153188033	"RNA"
"2600006K01Rik"	"ENSMUSG00000039798"	"2"	29758735	29760329	"RNA"
"2600014E21Rik"	"ENSMUSG00000100303"	"2"	74969187	75148164	"RNA"
"2610027F03Rik"	"ENSMUSG00000099957"	"1"	120549469	120618132	"RNA"
"2610203C22Rik"	"ENSMUSG00000079671"	"1"	9630705	9701406	"RNA"
"2610316D01Rik"	"ENSMUSG00000097040"	"3"	45234625	45332726	"RNA"
"2700033N17Rik"	"ENSMUSG00000086328"	"2"	115896675	115897931	"RNA"
"2700069I18Rik"	"ENSMUSG00000086224"	"3"	5242646	5285901	"RNA"
"2810002D19Rik"	"ENSMUSG00000045464"	"2"	94236496	94253110	"RNA"
"2810408I11Rik"	"ENSMUSG00000087213"	"1"	64719013	64729842	"RNA"
"2810414N06Rik"	"ENSMUSG00000100594"	"1"	151624697	151630801	"RNA"
"2810430I11Rik"	"ENSMUSG00000085766"	"2"	27772937	27777064	"RNA"
"2810442N19Rik"	"ENSMUSG00000090260"	"1"	161832538	161844063	"RNA"
"2810459M11Rik"	"ENSMUSG00000026227"	"1"	85973585	85983178	"RNA"
"2900009J06Rik"	"ENSMUSG00000102014"	"1"	127681353	127701829	"RNA"
"2900042K21Rik"	"ENSMUSG00000103669"	"1"	188942558	188943210	"RNA"
"2900060B14Rik"	"ENSMUSG00000107722"	"1"	118386382	118386997	"RNA"
"2900072N19Rik"	"ENSMUSG00000087018"	"2"	91885334	91889714	"RNA"
"2900093K20Rik"	"ENSMUSG00000099632"	"2"	163261687	163262288	"RNA"
"3110009E18Rik"	"ENSMUSG00000026388"	"1"	120048917	120115919	"RNA"
"3110040M04Rik"	"ENSMUSG00000114582"	"1"	151079872	151081545	"RNA"
"3110045C21Rik"	"ENSMUSG00000097503"	"1"	169796958	169800516	"RNA"
"3110099E03Rik"	"ENSMUSG00000085582"	"2"	115323994	115358225	"RNA"
"3300002I08Rik"	"ENSMUSG00000063364"	"2"	150152855	150204685	"RNA"
"3830432H09Rik"	"ENSMUSG00000101731"	"1"	119457210	119463895	"RNA"
"4631405J19Rik"	"ENSMUSG00000075027"	"2"	92858301	92875077	"RNA"
"4732440D04Rik"	"ENSMUSG00000090031"	"1"	6234353	6285517	"RNA"
"4921504E06Rik"	"ENSMUSG00000026734"	"2"	19467648	19558725	"RNA"
"4921508D12Rik"	"ENSMUSG00000027345"	"2"	132266661	132294419	"RNA"
"4921509C19Rik"	"ENSMUSG00000061525"	"2"	151312462	151318073	"RNA"
"4921531C22Rik"	"ENSMUSG00000085704"	"2"	179617786	179620806	"RNA"
"4921539H07Rik"	"ENSMUSG00000104586"	"3"	58024474	58075037	"RNA"
"4930402F06Rik"	"ENSMUSG00000079421"	"2"	35265574	35287187	"RNA"
"4930403P22Rik"	"ENSMUSG00000102762"	"1"	36371789	36372501	"RNA"
"4930404H24Rik"	"ENSMUSG00000079001"	"2"	153334710	153335761	"RNA"
"4930405A21Rik"	"ENSMUSG00000086638"	"2"	156556460	156562829	"RNA"
"4930412B13Rik"	"ENSMUSG00000086221"	"2"	117652409	117739617	"RNA"
"4930412E21Rik"	"ENSMUSG00000102203"	"3"	23515214	23575562	"RNA"
"4930412O13Rik"	"ENSMUSG00000025783"	"2"	9886063	9888732	"RNA"
"4930417H01Rik"	"ENSMUSG00000087017"	"2"	122543967	122563376	"RNA"
"4930419G24Rik"	"ENSMUSG00000087625"	"3"	33078926	33142756	"RNA"
"4930426L09Rik"	"ENSMUSG00000026736"	"2"	19003130	19005548	"RNA"
"4930431L21Rik"	"ENSMUSG00000105475"	"3"	33920962	33951733	"RNA"
"4930433B08Rik"	"ENSMUSG00000102699"	"3"	18522451	18534641	"RNA"
"4930433J02Rik"	"ENSMUSG00000103478"	"1"	184818299	184823516	"RNA"
"4930434B07Rik"	"ENSMUSG00000100850"	"1"	90081350	90087184	"RNA"
"4930439A04Rik"	"ENSMUSG00000086064"	"1"	37368748	37373253	"RNA"
"4930439D14Rik"	"ENSMUSG00000101905"	"1"	156767408	156767766	"RNA"
"4930440C22Rik"	"ENSMUSG00000100518"	"1"	94724808	94730197	"RNA"
"4930441J16Rik"	"ENSMUSG00000085405"	"2"	74129284	74138061	"RNA"
"4930442J19Rik"	"ENSMUSG00000087609"	"2"	151143894	151158167	"RNA"
"4930443O20Rik"	"ENSMUSG00000086969"	"2"	84903958	84916805	"RNA"
"4930444A19Rik"	"ENSMUSG00000101674"	"1"	54720888	54806683	"RNA"
"4930444E06Rik"	"ENSMUSG00000085127"	"2"	144085161	144086769	"RNA"
"4930444P10Rik"	"ENSMUSG00000067795"	"1"	16136203	16163549	"RNA"
"4930445B16Rik"	"ENSMUSG00000091061"	"2"	96817363	96913906	"RNA"
"4930445N08Rik"	"ENSMUSG00000087205"	"2"	74409420	74414888	"RNA"
"4930447M23Rik"	"ENSMUSG00000087674"	"2"	19349128	19357065	"RNA"
"4930448I06Rik"	"ENSMUSG00000104072"	"1"	41206747	41220412	"RNA"
"4930452N14Rik"	"ENSMUSG00000099933"	"1"	154117267	154132652	"RNA"
"4930453O03Rik"	"ENSMUSG00000085420"	"1"	88275211	88280652	"RNA"
"4930470P17Rik"	"ENSMUSG00000043583"	"2"	170421338	170443937	"RNA"
"4930473A02Rik"	"ENSMUSG00000060029"	"2"	130385711	130405669	"RNA"
"4930486I03Rik"	"ENSMUSG00000089914"	"1"	20426676	20462524	"RNA"
"4930488B22Rik"	"ENSMUSG00000092578"	"1"	184444694	184451186	"RNA"
"4930500M09Rik"	"ENSMUSG00000044306"	"1"	170042429	170043991	"RNA"
"4930503O07Rik"	"ENSMUSG00000103692"	"1"	193894495	193905067	"RNA"
"4930517E11Rik"	"ENSMUSG00000085496"	"2"	123965556	123971876	"RNA"
"4930518J20Rik"	"ENSMUSG00000103705"	"1"	156131059	156132536	"RNA"
"4930519P11Rik"	"ENSMUSG00000097602"	"2"	154453730	154455357	"RNA"
"4930521E06Rik"	"ENSMUSG00000101701"	"1"	44778836	44784109	"RNA"
"4930523C07Rik"	"ENSMUSG00000090394"	"1"	159871952	159907778	"RNA"
"4930527A07Rik"	"ENSMUSG00000086764"	"2"	105306846	105307702	"RNA"
"4930527E20Rik"	"ENSMUSG00000085491"	"2"	30693805	30697441	"RNA"
"4930527J03Rik"	"ENSMUSG00000070489"	"1"	178103613	178104206	"RNA"
"4930528P14Rik"	"ENSMUSG00000087309"	"2"	115159745	115174761	"RNA"
"4930529I22Rik"	"ENSMUSG00000085350"	"2"	169241065	169247370	"RNA"
"4930532G15Rik"	"ENSMUSG00000097261"	"1"	185091658	185095062	"RNA"
"4930532M18Rik"	"ENSMUSG00000100221"	"1"	154131435	154146162	"RNA"
"4930533B01Rik"	"ENSMUSG00000084798"	"2"	113521398	113538895	"RNA"
"4930533P14Rik"	"ENSMUSG00000100589"	"1"	96539782	96590298	"RNA"
"4930535G08Rik"	"ENSMUSG00000104201"	"1"	36050153	36050975	"RNA"
"4930539M17Rik"	"ENSMUSG00000103116"	"3"	9127024	9136134	"RNA"
"4930545L23Rik"	"ENSMUSG00000085247"	"2"	135011493	135057536	"RNA"
"4930547E08Rik"	"ENSMUSG00000086687"	"2"	103634797	103640967	"RNA"
"4930551O13Rik"	"ENSMUSG00000086430"	"2"	5042091	5045944	"RNA"
"4930555B11Rik"	"ENSMUSG00000086396"	"2"	57071843	57078269	"RNA"
"4930555M17Rik"	"ENSMUSG00000093557"	"3"	5578055	5580393	"RNA"
"4930556G22Rik"	"ENSMUSG00000101764"	"1"	72022840	72077890	"RNA"
"4930556I23Rik"	"ENSMUSG00000089767"	"1"	37653340	37654453	"RNA"
"4930556L07Rik"	"ENSMUSG00000086800"	"2"	151589498	151591898	"RNA"
"4930558J18Rik"	"ENSMUSG00000097519"	"1"	57398377	57416741	"RNA"
"4930558K02Rik"	"ENSMUSG00000086277"	"1"	161769655	161807205	"RNA"
"4930562F07Rik"	"ENSMUSG00000026729"	"1"	159902305	159905555	"RNA"
"4930562F17Rik"	"ENSMUSG00000104014"	"1"	158961842	158993957	"RNA"
"4930568A12Rik"	"ENSMUSG00000101223"	"1"	34516248	34525072	"RNA"
"4930568D16Rik"	"ENSMUSG00000026882"	"2"	35244230	35257741	"RNA"
"4930568G15Rik"	"ENSMUSG00000102408"	"1"	164891593	164919497	"RNA"
"4930570N18Rik"	"ENSMUSG00000089683"	"1"	192885346	192908516	"RNA"
"4930583P06Rik"	"ENSMUSG00000086954"	"2"	124059599	124064251	"RNA"
"4930587A21Rik"	"ENSMUSG00000086009"	"1"	61656102	61660308	"RNA"
"4930590L20Rik"	"ENSMUSG00000102368"	"1"	140497914	140584142	"RNA"
"4930591A17Rik"	"ENSMUSG00000039138"	"2"	179056724	179058676	"RNA"
"4930593A02Rik"	"ENSMUSG00000097725"	"3"	58600010	58704752	"RNA"
"4930594O21Rik"	"ENSMUSG00000085677"	"3"	37668062	37669425	"RNA"
"4930596I21Rik"	"ENSMUSG00000104900"	"1"	138905394	138906984	"RNA"
"4930598F16Rik"	"ENSMUSG00000100777"	"1"	95628909	95644243	"RNA"
"4930599A14Rik"	"ENSMUSG00000101600"	"1"	126799940	126804352	"RNA"
"4931408C20Rik"	"ENSMUSG00000073722"	"1"	26720895	26726541	"RNA"
"4931419H13Rik"	"ENSMUSG00000106589"	"3"	54962663	54991423	"RNA"
"4931422A03Rik"	"ENSMUSG00000046085"	"2"	103797288	103858706	"RNA"
"4931428L18Rik"	"ENSMUSG00000086727"	"1"	31036933	31261765	"RNA"
"4932414N04Rik"	"ENSMUSG00000079324"	"2"	68486830	68578811	"RNA"
"4933400F21Rik"	"ENSMUSG00000102009"	"1"	89578251	89611630	"RNA"
"4933402D24Rik"	"ENSMUSG00000025961"	"1"	63794066	63808426	"RNA"
"4933406D12Rik"	"ENSMUSG00000085796"	"2"	146384851	146388028	"RNA"
"4933407L21Rik"	"ENSMUSG00000026224"	"1"	85856204	85868346	"RNA"
"4933409D19Rik"	"ENSMUSG00000104366"	"1"	136530771	136533206	"RNA"
"4933409G03Rik"	"ENSMUSG00000053896"	"2"	68412757	68446807	"RNA"
"4933411E06Rik"	"ENSMUSG00000099608"	"1"	50146629	50148121	"RNA"
"4933416E03Rik"	"ENSMUSG00000085198"	"2"	159789261	159823208	"RNA"
"4933417E11Rik"	"ENSMUSG00000101848"	"1"	71998157	72044354	"RNA"
"4933423P22Rik"	"ENSMUSG00000085471"	"2"	90309580	90318769	"RNA"
"4933424G06Rik"	"ENSMUSG00000102416"	"1"	36749230	36797034	"RNA"
"4933427J07Rik"	"ENSMUSG00000087267"	"2"	128797591	128799781	"RNA"
"4933429H19Rik"	"ENSMUSG00000097786"	"3"	30846719	30847713	"RNA"
"4933436E23Rik"	"ENSMUSG00000103844"	"1"	139307190	139330590	"RNA"
"4933436I20Rik"	"ENSMUSG00000100580"	"1"	83637271	83889365	"RNA"
"4933439K11Rik"	"ENSMUSG00000085184"	"1"	172365700	172385696	"RNA"
"5031425F14Rik"	"ENSMUSG00000085129"	"2"	166289371	166301152	"RNA"
"5031434O11Rik"	"ENSMUSG00000097885"	"3"	51467456	51474538	"RNA"
"5033417F24Rik"	"ENSMUSG00000097251"	"1"	92836100	92838486	"RNA"
"5330411J11Rik"	"ENSMUSG00000087455"	"2"	59212846	59217815	"RNA"
"5330413P13Rik"	"ENSMUSG00000086822"	"2"	131661926	131689603	"RNA"
"5330438I03Rik"	"ENSMUSG00000091393"	"1"	166134310	166137154	"RNA"
"5430405H02Rik"	"ENSMUSG00000085741"	"2"	156685045	156704926	"RNA"
"5430434I15Rik"	"ENSMUSG00000106002"	"3"	38257300	38262268	"RNA"
"5730419F03Rik"	"ENSMUSG00000099364"	"1"	78571663	78588078	"RNA"
"6030407O03Rik"	"ENSMUSG00000100301"	"1"	73657247	73903625	"RNA"
"6030442K20Rik"	"ENSMUSG00000097760"	"1"	132394171	132404802	"RNA"
"6330409D20Rik"	"ENSMUSG00000009551"	"2"	32622632	32631028	"RNA"
"6430503K07Rik"	"ENSMUSG00000053545"	"2"	147029344	147030327	"RNA"
"6430550D23Rik"	"ENSMUSG00000074646"	"2"	155815199	155849897	"RNA"
"6430590A07Rik"	"ENSMUSG00000097583"	"3"	40840332	40848628	"RNA"
"6430710C18Rik"	"ENSMUSG00000085427"	"2"	72576190	72644061	"RNA"
"6530402F18Rik"	"ENSMUSG00000079499"	"2"	29135119	29143018	"RNA"
"6720483E21Rik"	"ENSMUSG00000097934"	"1"	20958874	20960697	"RNA"
"6820408C15Rik"	"ENSMUSG00000032680"	"2"	152257507	152286250	"RNA"
"8030442B05Rik"	"ENSMUSG00000102674"	"2"	11343177	11403312	"RNA"
"8430432A02Rik"	"ENSMUSG00000041878"	"1"	43131748	43132995	"RNA"
"8430437L04Rik"	"ENSMUSG00000085252"	"2"	72533854	72559812	"RNA"
"9030204H09Rik"	"ENSMUSG00000086449"	"2"	35709202	35713397	"RNA"
"9030622O22Rik"	"ENSMUSG00000086141"	"2"	147786386	147882176	"RNA"
"9130015L21Rik"	"ENSMUSG00000086653"	"2"	159858573	159882539	"RNA"
"9130024F11Rik"	"ENSMUSG00000087022"	"1"	57010571	57089243	"RNA"
"9130227L01Rik"	"ENSMUSG00000099950"	"1"	55970400	56011487	"RNA"
"9130409I23Rik"	"ENSMUSG00000038768"	"1"	180878802	180888232	"RNA"
"9230102O04Rik"	"ENSMUSG00000079602"	"2"	9887852	9894351	"RNA"
"9230111E07Rik"	"ENSMUSG00000087624"	"2"	167623973	167625406	"RNA"
"9230112E08Rik"	"ENSMUSG00000070461"	"2"	180625717	180629068	"RNA"
"9230116N13Rik"	"ENSMUSG00000097403"	"1"	136339654	136343257	"RNA"
"9330121J05Rik"	"ENSMUSG00000103502"	"3"	62244945	62247953	"RNA"
"9330162B11Rik"	"ENSMUSG00000103577"	"1"	187738773	187741187	"RNA"
"9330175M20Rik"	"ENSMUSG00000101799"	"1"	51257545	51372938	"RNA"
"9330185C12Rik"	"ENSMUSG00000097648"	"1"	113819115	113891864	"RNA"
"9330198N18Rik"	"ENSMUSG00000086405"	"2"	30519667	30579222	"RNA"
"9430021M05Rik"	"ENSMUSG00000054457"	"2"	162503083	162517125	"RNA"
"9430024E24Rik"	"ENSMUSG00000085463"	"2"	33606373	33608911	"RNA"
"9430060I03Rik"	"ENSMUSG00000100632"	"1"	92861248	92878312	"RNA"
"9430093N23Rik"	"ENSMUSG00000085369"	"2"	169076911	169079690	"RNA"
"9430097D07Rik"	"ENSMUSG00000075405"	"2"	32464196	32465696	"RNA"
"9530026F06Rik"	"ENSMUSG00000085447"	"1"	61417591	61435063	"RNA"
"9630028B13Rik"	"ENSMUSG00000051295"	"1"	185161552	185174016	"RNA"
"9630028H03Rik"	"ENSMUSG00000085631"	"2"	135167367	135425504	"RNA"
"9830004L10Rik"	"ENSMUSG00000099552"	"1"	80162436	80169790	"RNA"
"9830144P21Rik"	"ENSMUSG00000087528"	"2"	129047878	129072499	"RNA"
"9930111H07Rik"	"ENSMUSG00000100217"	"1"	85702992	85712415	"RNA"
"a"	"ENSMUSG00000027596"	"2"	154633322	154892932	"RNA"
"A030003K21Rik"	"ENSMUSG00000113084"	"1"	82920280	82921109	"RNA"
"A030005K14Rik"	"ENSMUSG00000104423"	"1"	83036007	83037099	"RNA"
"A030005L19Rik"	"ENSMUSG00000113880"	"1"	82891046	82891851	"RNA"
"A030014E15Rik"	"ENSMUSG00000113973"	"1"	82902638	82903433	"RNA"
"A130010J15Rik"	"ENSMUSG00000079144"	"1"	192850354	192860140	"RNA"
"A130030D18Rik"	"ENSMUSG00000087061"	"2"	82205716	82222546	"RNA"
"A230005M16Rik"	"ENSMUSG00000087612"	"2"	25595862	25599728	"RNA"
"A230020J21Rik"	"ENSMUSG00000097845"	"1"	190757547	190761978	"RNA"
"A230059L01Rik"	"ENSMUSG00000087627"	"1"	146678703	146683078	"RNA"
"A230108P19Rik"	"ENSMUSG00000087125"	"2"	6198062	6326422	"RNA"
"A330015K06Rik"	"ENSMUSG00000104093"	"3"	65040477	65210106	"RNA"
"A330023F24Rik"	"ENSMUSG00000096929"	"1"	194658654	194720212	"RNA"
"A330043C09Rik"	"ENSMUSG00000086044"	"2"	74977462	75008002	"RNA"
"A430018G15Rik"	"ENSMUSG00000085315"	"2"	52314989	52324907	"RNA"
"A430027H14Rik"	"ENSMUSG00000104507"	"1"	189075628	189077094	"RNA"
"A430034D21Rik"	"ENSMUSG00000103594"	"1"	136175400	136178214	"RNA"
"A430048G15Rik"	"ENSMUSG00000086650"	"2"	133274015	133295282	"RNA"
"A430105J06Rik"	"ENSMUSG00000097784"	"1"	186481593	186485118	"RNA"
"A430110L20Rik"	"ENSMUSG00000054135"	"1"	181053551	181056063	"RNA"
"A530006G24Rik"	"ENSMUSG00000051986"	"2"	147552613	147559552	"RNA"
"A530010F05Rik"	"ENSMUSG00000085797"	"2"	125116484	125119092	"RNA"
"A530013C23Rik"	"ENSMUSG00000006462"	"2"	167532597	167571092	"RNA"
"A530032D15Rik"	"ENSMUSG00000089844"	"1"	85060790	85087574	"RNA"
"A530040E14Rik"	"ENSMUSG00000072109"	"1"	85083667	85091756	"RNA"
"A530053M12Rik"	"ENSMUSG00000100247"	"1"	106327908	106329717	"RNA"
"A530058N18Rik"	"ENSMUSG00000092201"	"2"	113844044	113898805	"RNA"
"A530058N18Rik"	"ENSMUSG00000087694"	"2"	113844083	113862773	"RNA"
"A630001G21Rik"	"ENSMUSG00000052760"	"1"	85644804	85706364	"RNA"
"A630035G10Rik"	"ENSMUSG00000103083"	"1"	171504252	171509548	"RNA"
"A630050E04Rik"	"ENSMUSG00000085387"	"2"	73931268	73932686	"RNA"
"A630095N17Rik"	"ENSMUSG00000096094"	"1"	75196739	75208746	"RNA"
"A730004F24Rik"	"ENSMUSG00000103690"	"1"	186244035	186290878	"RNA"
"A730017L22Rik"	"ENSMUSG00000085566"	"2"	130714979	130748316	"RNA"
"A730032A03Rik"	"ENSMUSG00000085649"	"2"	164019504	164038484	"RNA"
"A730036I17Rik"	"ENSMUSG00000056738"	"2"	129060889	129077524	"RNA"
"A730090N16Rik"	"ENSMUSG00000090120"	"3"	65232197	65256850	"RNA"
"A830008E24Rik"	"ENSMUSG00000100627"	"1"	153913343	153993697	"RNA"
"A830018L16Rik"	"ENSMUSG00000057715"	"1"	11484329	12046125	"RNA"
"A830092H15Rik"	"ENSMUSG00000074664"	"3"	26385299	26387526	"RNA"
"A930001A20Rik"	"ENSMUSG00000098008"	"3"	15036261	15067787	"RNA"
"A930004D18Rik"	"ENSMUSG00000054057"	"2"	18030004	18042548	"RNA"
"A930006I01Rik"	"ENSMUSG00000087278"	"2"	103168946	103203109	"RNA"
"A930012O16Rik"	"ENSMUSG00000054181"	"2"	57126239	57128520	"RNA"
"A930018P22Rik"	"ENSMUSG00000032671"	"2"	103953114	103955094	"RNA"
"A930019D19Rik"	"ENSMUSG00000085958"	"2"	146101206	146109080	"RNA"
"A930104D05Rik"	"ENSMUSG00000045339"	"2"	118100714	118106650	"RNA"
"AA387200"	"ENSMUSG00000085946"	"2"	151916775	151918728	"RNA"
"AA467197"	"ENSMUSG00000033213"	"2"	122478906	122483111	"RNA"
"AA645442"	"ENSMUSG00000086669"	"2"	27216716	27221309	"RNA"
"AA986860"	"ENSMUSG00000042510"	"1"	130659713	130672359	"RNA"
"Aadac"	"ENSMUSG00000027761"	"3"	59933138	59947581	"RNA"
"Aadacl2"	"ENSMUSG00000091376"	"3"	59914164	59932841	"RNA"
"Aamp"	"ENSMUSG00000006299"	"1"	74318999	74323897	"RNA"
"Aar2"	"ENSMUSG00000027628"	"2"	156389504	156410892	"RNA"
"Abca12"	"ENSMUSG00000050296"	"1"	71281435	71454069	"RNA"
"Abca2"	"ENSMUSG00000026944"	"2"	25318715	25338552	"RNA"
"Abcb11"	"ENSMUSG00000027048"	"2"	69068626	69172960	"RNA"
"Abcb6"	"ENSMUSG00000026198"	"1"	75148361	75157036	"RNA"
"Abhd12"	"ENSMUSG00000032046"	"2"	150674413	150746661	"RNA"
