"mgi_symbol"	"ensembl_gene_id"	"chromosome_name"	"start_position"	"end_position"
"32"	"1700025C18Rik"	"ENSMUSG00000078935"	"2"	164920613	164932670
"33"	"1700025G04Rik"	"ENSMUSG00000032666"	"1"	151728154	151965876
"34"	"1700026D11Rik"	"ENSMUSG00000086379"	"2"	132332554	132365977
"35"	"1700027A15Rik"	"ENSMUSG00000101968"	"1"	73024003	73064666
"36"	"1700027H10Rik"	"ENSMUSG00000100799"	"3"	45371019	45393745
"37"	"1700028P15Rik"	"ENSMUSG00000086823"	"2"	171798799	171804744
"38"	"1700029M03Rik"	"ENSMUSG00000101189"	"1"	164788490	164790394
"39"	"1700030C14Rik"	"ENSMUSG00000087148"	"2"	152494802	152496250
"40"	"1700034H15Rik"	"ENSMUSG00000055833"	"1"	191618242	191639639
"41"	"1700034P13Rik"	"ENSMUSG00000097893"	"1"	9817873	9862152
"42"	"1700037H04Rik"	"ENSMUSG00000027327"	"2"	130988244	131002001
"43"	"1700047M11Rik"	"ENSMUSG00000100147"	"1"	182115506	182130890
"44"	"1700052H01Rik"	"ENSMUSG00000105297"	"3"	41308582	41348024
"45"	"1700054K02Rik"	"ENSMUSG00000097001"	"1"	92500096	92500471
"46"	"1700054M17Rik"	"ENSMUSG00000085889"	"2"	118135395	118138647
"47"	"1700056E22Rik"	"ENSMUSG00000044854"	"1"	183765227	183766498
"48"	"1700057H21Rik"	"ENSMUSG00000086007"	"2"	51310996	51328797
"49"	"1700060C20Rik"	"ENSMUSG00000078957"	"2"	158033928	158037669
"50"	"1700061F12Rik"	"ENSMUSG00000085580"	"2"	9194326	9202288
"51"	"1700063A18Rik"	"ENSMUSG00000100062"	"1"	95918384	95949483
"52"	"1700064H15Rik"	"ENSMUSG00000082766"	"3"	19664532	19682841
"53"	"1700065J18Rik"	"ENSMUSG00000100872"	"1"	192523969	192525048
"54"	"1700066B17Rik"	"ENSMUSG00000101634"	"1"	39878335	39886494
"55"	"1700066M21Rik"	"ENSMUSG00000038323"	"1"	57416779	57424582
"56"	"1700067G17Rik"	"ENSMUSG00000099378"	"1"	88943835	88949932
"57"	"1700072G22Rik"	"ENSMUSG00000101702"	"1"	51497091	51498090
"58"	"1700080N15Rik"	"ENSMUSG00000084859"	"2"	4136874	4145952
"59"	"1700084E18Rik"	"ENSMUSG00000100747"	"2"	30126807	30128235
"60"	"1700092C17Rik"	"ENSMUSG00000085353"	"2"	22645996	22652285
"61"	"1700101I19Rik"	"ENSMUSG00000045815"	"1"	34618283	34618792
"62"	"1700108N11Rik"	"ENSMUSG00000084837"	"2"	144173379	144174559
"63"	"1700112D23Rik"	"ENSMUSG00000091329"	"3"	28756816	28835313
"64"	"1700112H15Rik"	"ENSMUSG00000101574"	"1"	184260038	184289888
"65"	"1700121L03Rik"	"ENSMUSG00000099574"	"1"	125118019	125125192
"66"	"1700122D07Rik"	"ENSMUSG00000101409"	"1"	59573970	59576388
"67"	"1700125G22Rik"	"ENSMUSG00000097584"	"3"	27208175	27211168
"68"	"1700126A01Rik"	"ENSMUSG00000099945"	"1"	57166499	57168559
"69"	"1810006J02Rik"	"ENSMUSG00000100182"	"1"	98059154	98073990
"70"	"1810010K12Rik"	"ENSMUSG00000056329"	"2"	19456639	19459808
"71"	"1810012K08Rik"	"ENSMUSG00000087595"	"2"	26028558	26029555
"72"	"1810024B03Rik"	"ENSMUSG00000044145"	"2"	127028275	127050200
"73"	"1810059C17Rik"	"ENSMUSG00000086340"	"2"	18059004	18061424
"74"	"1810062G17Rik"	"ENSMUSG00000027713"	"3"	36530086	36536448
"75"	"2010009K17Rik"	"ENSMUSG00000100860"	"2"	157912287	157933717
"76"	"2010103J01Rik"	"ENSMUSG00000104368"	"1"	185044384	185046000
"77"	"2210011K15Rik"	"ENSMUSG00000101791"	"1"	121282845	121287629
"78"	"2210411M09Rik"	"ENSMUSG00000085563"	"1"	180779629	180785714
"79"	"2210418O10Rik"	"ENSMUSG00000078894"	"2"	175968362	175982121
"80"	"2310001K24Rik"	"ENSMUSG00000053353"	"2"	163313877	163314925
"81"	"2310005A03Rik"	"ENSMUSG00000087254"	"2"	154939709	154942001
"82"	"2310009B15Rik"	"ENSMUSG00000079283"	"1"	138779721	138784590
"83"	"2310015K22Rik"	"ENSMUSG00000101257"	"1"	80202761	80207332
"84"	"2310016D23Rik"	"ENSMUSG00000085965"	"1"	60817899	60842949
"85"	"2310030A07Rik"	"ENSMUSG00000099447"	"1"	150196432	150222522
"86"	"2310043L19Rik"	"ENSMUSG00000101746"	"1"	177469108	177470509
"87"	"2400006E01Rik"	"ENSMUSG00000106223"	"3"	41475682	41482909
"88"	"2500004C02Rik"	"ENSMUSG00000073236"	"2"	153183077	153188033
"89"	"2600006K01Rik"	"ENSMUSG00000039798"	"2"	29758735	29760329
"90"	"2600014E21Rik"	"ENSMUSG00000100303"	"2"	74969187	75148164
"91"	"2610027F03Rik"	"ENSMUSG00000099957"	"1"	120549469	120618132
"92"	"2610203C22Rik"	"ENSMUSG00000079671"	"1"	9630705	9701406
"93"	"2610316D01Rik"	"ENSMUSG00000097040"	"3"	45234625	45332726
"94"	"2700033N17Rik"	"ENSMUSG00000086328"	"2"	115896675	115897931
"95"	"2700069I18Rik"	"ENSMUSG00000086224"	"3"	5242646	5285901
"96"	"2810002D19Rik"	"ENSMUSG00000045464"	"2"	94236496	94253110
"97"	"2810408I11Rik"	"ENSMUSG00000087213"	"1"	64719013	64729842
"98"	"2810414N06Rik"	"ENSMUSG00000100594"	"1"	151624697	151630801
"99"	"2810430I11Rik"	"ENSMUSG00000085766"	"2"	27772937	27777064
"100"	"2810442N19Rik"	"ENSMUSG00000090260"	"1"	161832538	161844063
"101"	"2810459M11Rik"	"ENSMUSG00000026227"	"1"	85973585	85983178
"102"	"2900009J06Rik"	"ENSMUSG00000102014"	"1"	127681353	127701829
"103"	"2900042K21Rik"	"ENSMUSG00000103669"	"1"	188942558	188943210
"104"	"2900060B14Rik"	"ENSMUSG00000107722"	"1"	118386382	118386997
"105"	"2900072N19Rik"	"ENSMUSG00000087018"	"2"	91885334	91889714
"106"	"2900093K20Rik"	"ENSMUSG00000099632"	"2"	163261687	163262288
"107"	"3110009E18Rik"	"ENSMUSG00000026388"	"1"	120048917	120115919
"108"	"3110040M04Rik"	"ENSMUSG00000114582"	"1"	151079872	151081545
"109"	"3110045C21Rik"	"ENSMUSG00000097503"	"1"	169796958	169800516
"110"	"3110099E03Rik"	"ENSMUSG00000085582"	"2"	115323994	115358225
"111"	"3300002I08Rik"	"ENSMUSG00000063364"	"2"	150152855	150204685
"112"	"3830432H09Rik"	"ENSMUSG00000101731"	"1"	119457210	119463895
"113"	"4631405J19Rik"	"ENSMUSG00000075027"	"2"	92858301	92875077
"114"	"4732440D04Rik"	"ENSMUSG00000090031"	"1"	6234353	6285517
"115"	"4921504E06Rik"	"ENSMUSG00000026734"	"2"	19467648	19558725
"116"	"4921508D12Rik"	"ENSMUSG00000027345"	"2"	132266661	132294419
"117"	"4921509C19Rik"	"ENSMUSG00000061525"	"2"	151312462	151318073
"118"	"4921531C22Rik"	"ENSMUSG00000085704"	"2"	179617786	179620806
"119"	"4921539H07Rik"	"ENSMUSG00000104586"	"3"	58024474	58075037
"120"	"4930402F06Rik"	"ENSMUSG00000079421"	"2"	35265574	35287187
"121"	"4930403P22Rik"	"ENSMUSG00000102762"	"1"	36371789	36372501
"122"	"4930404H24Rik"	"ENSMUSG00000079001"	"2"	153334710	153335761
"123"	"4930405A21Rik"	"ENSMUSG00000086638"	"2"	156556460	156562829
"124"	"4930412B13Rik"	"ENSMUSG00000086221"	"2"	117652409	117739617
"125"	"4930412E21Rik"	"ENSMUSG00000102203"	"3"	23515214	23575562
"126"	"4930412O13Rik"	"ENSMUSG00000025783"	"2"	9886063	9888732
"127"	"4930417H01Rik"	"ENSMUSG00000087017"	"2"	122543967	122563376
"128"	"4930419G24Rik"	"ENSMUSG00000087625"	"3"	33078926	33142756
"129"	"4930426L09Rik"	"ENSMUSG00000026736"	"2"	19003130	19005548
"130"	"4930431L21Rik"	"ENSMUSG00000105475"	"3"	33920962	33951733
"131"	"4930433B08Rik"	"ENSMUSG00000102699"	"3"	18522451	18534641
"132"	"4930433J02Rik"	"ENSMUSG00000103478"	"1"	184818299	184823516
"133"	"4930434B07Rik"	"ENSMUSG00000100850"	"1"	90081350	90087184
"134"	"4930439A04Rik"	"ENSMUSG00000086064"	"1"	37368748	37373253
"135"	"4930439D14Rik"	"ENSMUSG00000101905"	"1"	156767408	156767766
"136"	"4930440C22Rik"	"ENSMUSG00000100518"	"1"	94724808	94730197
"137"	"4930441J16Rik"	"ENSMUSG00000085405"	"2"	74129284	74138061
"138"	"4930442J19Rik"	"ENSMUSG00000087609"	"2"	151143894	151158167
"139"	"4930443O20Rik"	"ENSMUSG00000086969"	"2"	84903958	84916805
"140"	"4930444A19Rik"	"ENSMUSG00000101674"	"1"	54720888	54806683
"141"	"4930444E06Rik"	"ENSMUSG00000085127"	"2"	144085161	144086769
"142"	"4930444P10Rik"	"ENSMUSG00000067795"	"1"	16136203	16163549
"143"	"4930445B16Rik"	"ENSMUSG00000091061"	"2"	96817363	96913906
"144"	"4930445N08Rik"	"ENSMUSG00000087205"	"2"	74409420	74414888
"145"	"4930447M23Rik"	"ENSMUSG00000087674"	"2"	19349128	19357065
"146"	"4930448I06Rik"	"ENSMUSG00000104072"	"1"	41206747	41220412
"147"	"4930452N14Rik"	"ENSMUSG00000099933"	"1"	154117267	154132652
"148"	"4930453O03Rik"	"ENSMUSG00000085420"	"1"	88275211	88280652
"149"	"4930470P17Rik"	"ENSMUSG00000043583"	"2"	170421338	170443937
"150"	"4930473A02Rik"	"ENSMUSG00000060029"	"2"	130385711	130405669
"151"	"4930486I03Rik"	"ENSMUSG00000089914"	"1"	20426676	20462524
"152"	"4930488B22Rik"	"ENSMUSG00000092578"	"1"	184444694	184451186
"153"	"4930500M09Rik"	"ENSMUSG00000044306"	"1"	170042429	170043991
"154"	"4930503O07Rik"	"ENSMUSG00000103692"	"1"	193894495	193905067
"155"	"4930517E11Rik"	"ENSMUSG00000085496"	"2"	123965556	123971876
"156"	"4930518J20Rik"	"ENSMUSG00000103705"	"1"	156131059	156132536
"157"	"4930519P11Rik"	"ENSMUSG00000097602"	"2"	154453730	154455357
"158"	"4930521E06Rik"	"ENSMUSG00000101701"	"1"	44778836	44784109
"159"	"4930523C07Rik"	"ENSMUSG00000090394"	"1"	159871952	159907778
"160"	"4930527A07Rik"	"ENSMUSG00000086764"	"2"	105306846	105307702
"161"	"4930527E20Rik"	"ENSMUSG00000085491"	"2"	30693805	30697441
"162"	"4930527J03Rik"	"ENSMUSG00000070489"	"1"	178103613	178104206
"163"	"4930528P14Rik"	"ENSMUSG00000087309"	"2"	115159745	115174761
"164"	"4930529I22Rik"	"ENSMUSG00000085350"	"2"	169241065	169247370
"165"	"4930532G15Rik"	"ENSMUSG00000097261"	"1"	185091658	185095062
"166"	"4930532M18Rik"	"ENSMUSG00000100221"	"1"	154131435	154146162
"167"	"4930533B01Rik"	"ENSMUSG00000084798"	"2"	113521398	113538895
"168"	"4930533P14Rik"	"ENSMUSG00000100589"	"1"	96539782	96590298
"169"	"4930535G08Rik"	"ENSMUSG00000104201"	"1"	36050153	36050975
"170"	"4930539M17Rik"	"ENSMUSG00000103116"	"3"	9127024	9136134
"171"	"4930545L23Rik"	"ENSMUSG00000085247"	"2"	135011493	135057536
"172"	"4930547E08Rik"	"ENSMUSG00000086687"	"2"	103634797	103640967
"173"	"4930551O13Rik"	"ENSMUSG00000086430"	"2"	5042091	5045944
"174"	"4930555B11Rik"	"ENSMUSG00000086396"	"2"	57071843	57078269
"175"	"4930555M17Rik"	"ENSMUSG00000093557"	"3"	5578055	5580393
"176"	"4930556G22Rik"	"ENSMUSG00000101764"	"1"	72022840	72077890
"177"	"4930556I23Rik"	"ENSMUSG00000089767"	"1"	37653340	37654453
"178"	"4930556L07Rik"	"ENSMUSG00000086800"	"2"	151589498	151591898
"179"	"4930558J18Rik"	"ENSMUSG00000097519"	"1"	57398377	57416741
"180"	"4930558K02Rik"	"ENSMUSG00000086277"	"1"	161769655	161807205
"181"	"4930562F07Rik"	"ENSMUSG00000026729"	"1"	159902305	159905555
"182"	"4930562F17Rik"	"ENSMUSG00000104014"	"1"	158961842	158993957
"183"	"4930568A12Rik"	"ENSMUSG00000101223"	"1"	34516248	34525072
"184"	"4930568D16Rik"	"ENSMUSG00000026882"	"2"	35244230	35257741
"185"	"4930568G15Rik"	"ENSMUSG00000102408"	"1"	164891593	164919497
"186"	"4930570N18Rik"	"ENSMUSG00000089683"	"1"	192885346	192908516
"187"	"4930583P06Rik"	"ENSMUSG00000086954"	"2"	124059599	124064251
"188"	"4930587A21Rik"	"ENSMUSG00000086009"	"1"	61656102	61660308
"189"	"4930590L20Rik"	"ENSMUSG00000102368"	"1"	140497914	140584142
"190"	"4930591A17Rik"	"ENSMUSG00000039138"	"2"	179056724	179058676
"191"	"4930593A02Rik"	"ENSMUSG00000097725"	"3"	58600010	58704752
"192"	"4930594O21Rik"	"ENSMUSG00000085677"	"3"	37668062	37669425
"193"	"4930596I21Rik"	"ENSMUSG00000104900"	"1"	138905394	138906984
"194"	"4930598F16Rik"	"ENSMUSG00000100777"	"1"	95628909	95644243
"195"	"4930599A14Rik"	"ENSMUSG00000101600"	"1"	126799940	126804352
"196"	"4931408C20Rik"	"ENSMUSG00000073722"	"1"	26720895	26726541
"197"	"4931419H13Rik"	"ENSMUSG00000106589"	"3"	54962663	54991423
"198"	"4931422A03Rik"	"ENSMUSG00000046085"	"2"	103797288	103858706
"199"	"4931428L18Rik"	"ENSMUSG00000086727"	"1"	31036933	31261765
"200"	"4932414N04Rik"	"ENSMUSG00000079324"	"2"	68486830	68578811
"201"	"4933400F21Rik"	"ENSMUSG00000102009"	"1"	89578251	89611630
"202"	"4933402D24Rik"	"ENSMUSG00000025961"	"1"	63794066	63808426
"203"	"4933406D12Rik"	"ENSMUSG00000085796"	"2"	146384851	146388028
"204"	"4933407L21Rik"	"ENSMUSG00000026224"	"1"	85856204	85868346
"205"	"4933409D19Rik"	"ENSMUSG00000104366"	"1"	136530771	136533206
"206"	"4933409G03Rik"	"ENSMUSG00000053896"	"2"	68412757	68446807
"207"	"4933411E06Rik"	"ENSMUSG00000099608"	"1"	50146629	50148121
"208"	"4933416E03Rik"	"ENSMUSG00000085198"	"2"	159789261	159823208
"209"	"4933417E11Rik"	"ENSMUSG00000101848"	"1"	71998157	72044354
"210"	"4933423P22Rik"	"ENSMUSG00000085471"	"2"	90309580	90318769
"211"	"4933424G06Rik"	"ENSMUSG00000102416"	"1"	36749230	36797034
"212"	"4933427J07Rik"	"ENSMUSG00000087267"	"2"	128797591	128799781
"213"	"4933429H19Rik"	"ENSMUSG00000097786"	"3"	30846719	30847713
"214"	"4933436E23Rik"	"ENSMUSG00000103844"	"1"	139307190	139330590
"215"	"4933436I20Rik"	"ENSMUSG00000100580"	"1"	83637271	83889365
"216"	"4933439K11Rik"	"ENSMUSG00000085184"	"1"	172365700	172385696
"217"	"5031425F14Rik"	"ENSMUSG00000085129"	"2"	166289371	166301152
"218"	"5031434O11Rik"	"ENSMUSG00000097885"	"3"	51467456	51474538
"219"	"5033417F24Rik"	"ENSMUSG00000097251"	"1"	92836100	92838486
"220"	"5330411J11Rik"	"ENSMUSG00000087455"	"2"	59212846	59217815
"221"	"5330413P13Rik"	"ENSMUSG00000086822"	"2"	131661926	131689603
"222"	"5330438I03Rik"	"ENSMUSG00000091393"	"1"	166134310	166137154
"223"	"5430405H02Rik"	"ENSMUSG00000085741"	"2"	156685045	156704926
"224"	"5430434I15Rik"	"ENSMUSG00000106002"	"3"	38257300	38262268
"225"	"5730419F03Rik"	"ENSMUSG00000099364"	"1"	78571663	78588078
"226"	"6030407O03Rik"	"ENSMUSG00000100301"	"1"	73657247	73903625
"227"	"6030442K20Rik"	"ENSMUSG00000097760"	"1"	132394171	132404802
"228"	"6330409D20Rik"	"ENSMUSG00000009551"	"2"	32622632	32631028
"229"	"6430503K07Rik"	"ENSMUSG00000053545"	"2"	147029344	147030327
"230"	"6430550D23Rik"	"ENSMUSG00000074646"	"2"	155815199	155849897
"231"	"6430590A07Rik"	"ENSMUSG00000097583"	"3"	40840332	40848628
"232"	"6430710C18Rik"	"ENSMUSG00000085427"	"2"	72576190	72644061
"233"	"6530402F18Rik"	"ENSMUSG00000079499"	"2"	29135119	29143018
"234"	"6720483E21Rik"	"ENSMUSG00000097934"	"1"	20958874	20960697
"235"	"6820408C15Rik"	"ENSMUSG00000032680"	"2"	152257507	152286250
"236"	"8030442B05Rik"	"ENSMUSG00000102674"	"2"	11343177	11403312
"237"	"8430432A02Rik"	"ENSMUSG00000041878"	"1"	43131748	43132995
"238"	"8430437L04Rik"	"ENSMUSG00000085252"	"2"	72533854	72559812
"239"	"9030204H09Rik"	"ENSMUSG00000086449"	"2"	35709202	35713397
"240"	"9030622O22Rik"	"ENSMUSG00000086141"	"2"	147786386	147882176
"241"	"9130015L21Rik"	"ENSMUSG00000086653"	"2"	159858573	159882539
"242"	"9130024F11Rik"	"ENSMUSG00000087022"	"1"	57010571	57089243
"243"	"9130227L01Rik"	"ENSMUSG00000099950"	"1"	55970400	56011487
"244"	"9130409I23Rik"	"ENSMUSG00000038768"	"1"	180878802	180888232
"245"	"9230102O04Rik"	"ENSMUSG00000079602"	"2"	9887852	9894351
"246"	"9230111E07Rik"	"ENSMUSG00000087624"	"2"	167623973	167625406
"247"	"9230112E08Rik"	"ENSMUSG00000070461"	"2"	180625717	180629068
"248"	"9230116N13Rik"	"ENSMUSG00000097403"	"1"	136339654	136343257
"249"	"9330121J05Rik"	"ENSMUSG00000103502"	"3"	62244945	62247953
"250"	"9330162B11Rik"	"ENSMUSG00000103577"	"1"	187738773	187741187
"251"	"9330175M20Rik"	"ENSMUSG00000101799"	"1"	51257545	51372938
"252"	"9330185C12Rik"	"ENSMUSG00000097648"	"1"	113819115	113891864
"253"	"9330198N18Rik"	"ENSMUSG00000086405"	"2"	30519667	30579222
"254"	"9430021M05Rik"	"ENSMUSG00000054457"	"2"	162503083	162517125
"255"	"9430024E24Rik"	"ENSMUSG00000085463"	"2"	33606373	33608911
"256"	"9430060I03Rik"	"ENSMUSG00000100632"	"1"	92861248	92878312
"257"	"9430093N23Rik"	"ENSMUSG00000085369"	"2"	169076911	169079690
"258"	"9430097D07Rik"	"ENSMUSG00000075405"	"2"	32464196	32465696
"259"	"9530026F06Rik"	"ENSMUSG00000085447"	"1"	61417591	61435063
"260"	"9630028B13Rik"	"ENSMUSG00000051295"	"1"	185161552	185174016
"261"	"9630028H03Rik"	"ENSMUSG00000085631"	"2"	135167367	135425504
"262"	"9830004L10Rik"	"ENSMUSG00000099552"	"1"	80162436	80169790
"263"	"9830144P21Rik"	"ENSMUSG00000087528"	"2"	129047878	129072499
"264"	"9930111H07Rik"	"ENSMUSG00000100217"	"1"	85702992	85712415
"265"	"a"	"ENSMUSG00000027596"	"2"	154633322	154892932
"266"	"A030003K21Rik"	"ENSMUSG00000113084"	"1"	82920280	82921109
"267"	"A030005K14Rik"	"ENSMUSG00000104423"	"1"	83036007	83037099
"268"	"A030005L19Rik"	"ENSMUSG00000113880"	"1"	82891046	82891851
"269"	"A030014E15Rik"	"ENSMUSG00000113973"	"1"	82902638	82903433
"270"	"A130010J15Rik"	"ENSMUSG00000079144"	"1"	192850354	192860140
"271"	"A130030D18Rik"	"ENSMUSG00000087061"	"2"	82205716	82222546
"272"	"A230005M16Rik"	"ENSMUSG00000087612"	"2"	25595862	25599728
"273"	"A230020J21Rik"	"ENSMUSG00000097845"	"1"	190757547	190761978
"274"	"A230059L01Rik"	"ENSMUSG00000087627"	"1"	146678703	146683078
"275"	"A230108P19Rik"	"ENSMUSG00000087125"	"2"	6198062	6326422
"276"	"A330015K06Rik"	"ENSMUSG00000104093"	"3"	65040477	65210106
"277"	"A330023F24Rik"	"ENSMUSG00000096929"	"1"	194658654	194720212
"278"	"A330043C09Rik"	"ENSMUSG00000086044"	"2"	74977462	75008002
"279"	"A430018G15Rik"	"ENSMUSG00000085315"	"2"	52314989	52324907
"280"	"A430027H14Rik"	"ENSMUSG00000104507"	"1"	189075628	189077094
"281"	"A430034D21Rik"	"ENSMUSG00000103594"	"1"	136175400	136178214
"282"	"A430048G15Rik"	"ENSMUSG00000086650"	"2"	133274015	133295282
"283"	"A430105J06Rik"	"ENSMUSG00000097784"	"1"	186481593	186485118
"284"	"A430110L20Rik"	"ENSMUSG00000054135"	"1"	181053551	181056063
"285"	"A530006G24Rik"	"ENSMUSG00000051986"	"2"	147552613	147559552
"286"	"A530010F05Rik"	"ENSMUSG00000085797"	"2"	125116484	125119092
"287"	"A530013C23Rik"	"ENSMUSG00000006462"	"2"	167532597	167571092
"288"	"A530032D15Rik"	"ENSMUSG00000089844"	"1"	85060790	85087574
"289"	"A530040E14Rik"	"ENSMUSG00000072109"	"1"	85083667	85091756
"290"	"A530053M12Rik"	"ENSMUSG00000100247"	"1"	106327908	106329717
"291"	"A530058N18Rik"	"ENSMUSG00000092201"	"2"	113844044	113898805
"292"	"A530058N18Rik"	"ENSMUSG00000087694"	"2"	113844083	113862773
"293"	"A630001G21Rik"	"ENSMUSG00000052760"	"1"	85644804	85706364
"294"	"A630035G10Rik"	"ENSMUSG00000103083"	"1"	171504252	171509548
"295"	"A630050E04Rik"	"ENSMUSG00000085387"	"2"	73931268	73932686
"296"	"A630095N17Rik"	"ENSMUSG00000096094"	"1"	75196739	75208746
"297"	"A730004F24Rik"	"ENSMUSG00000103690"	"1"	186244035	186290878
"298"	"A730017L22Rik"	"ENSMUSG00000085566"	"2"	130714979	130748316
"299"	"A730032A03Rik"	"ENSMUSG00000085649"	"2"	164019504	164038484
"300"	"A730036I17Rik"	"ENSMUSG00000056738"	"2"	129060889	129077524
"301"	"A730090N16Rik"	"ENSMUSG00000090120"	"3"	65232197	65256850
"302"	"A830008E24Rik"	"ENSMUSG00000100627"	"1"	153913343	153993697
"303"	"A830018L16Rik"	"ENSMUSG00000057715"	"1"	11484329	12046125
"304"	"A830092H15Rik"	"ENSMUSG00000074664"	"3"	26385299	26387526
"305"	"A930001A20Rik"	"ENSMUSG00000098008"	"3"	15036261	15067787
"306"	"A930004D18Rik"	"ENSMUSG00000054057"	"2"	18030004	18042548
"307"	"A930006I01Rik"	"ENSMUSG00000087278"	"2"	103168946	103203109
"308"	"A930012O16Rik"	"ENSMUSG00000054181"	"2"	57126239	57128520
"309"	"A930018P22Rik"	"ENSMUSG00000032671"	"2"	103953114	103955094
"310"	"A930019D19Rik"	"ENSMUSG00000085958"	"2"	146101206	146109080
"311"	"A930104D05Rik"	"ENSMUSG00000045339"	"2"	118100714	118106650
"312"	"AA387200"	"ENSMUSG00000085946"	"2"	151916775	151918728
"313"	"AA467197"	"ENSMUSG00000033213"	"2"	122478906	122483111
"314"	"AA645442"	"ENSMUSG00000086669"	"2"	27216716	27221309
"315"	"AA986860"	"ENSMUSG00000042510"	"1"	130659713	130672359
"316"	"Aadac"	"ENSMUSG00000027761"	"3"	59933138	59947581
"317"	"Aadacl2"	"ENSMUSG00000091376"	"3"	59914164	59932841
"318"	"Aamp"	"ENSMUSG00000006299"	"1"	74318999	74323897
"319"	"Aar2"	"ENSMUSG00000027628"	"2"	156389504	156410892
"320"	"Abca12"	"ENSMUSG00000050296"	"1"	71281435	71454069
"321"	"Abca2"	"ENSMUSG00000026944"	"2"	25318715	25338552
"322"	"Abcb11"	"ENSMUSG00000027048"	"2"	69068626	69172960
"323"	"Abcb6"	"ENSMUSG00000026198"	"1"	75148361	75157036
"324"	"Abhd12"	"ENSMUSG00000032046"	"2"	150674413	150746661
"325"	"Abhd16b"	"ENSMUSG00000055882"	"2"	181134999	181136773
"326"	"Abhd18"	"ENSMUSG00000037818"	"3"	40801405	40892573
"327"	"Abi1"	"ENSMUSG00000058835"	"2"	22830085	22930253
"328"	"Abi2"	"ENSMUSG00000026782"	"1"	60448778	60520317
"329"	"Abl1"	"ENSMUSG00000026842"	"2"	31578388	31694239
"330"	"Abl2"	"ENSMUSG00000026596"	"1"	156386356	156477138
"331"	"Abo"	"ENSMUSG00000015787"	"2"	26732515	26754991
"332"	"Abtb2"	"ENSMUSG00000032724"	"2"	103396655	103548768
"333"	"Acad9"	"ENSMUSG00000027710"	"3"	36120128	36147002
"334"	"Acadl"	"ENSMUSG00000026003"	"1"	66869998	66902436
"335"	"Acbd3"	"ENSMUSG00000026499"	"1"	180553608	180581769
"336"	"Acbd5"	"ENSMUSG00000026781"	"2"	22958179	23005570
"337"	"Acbd6"	"ENSMUSG00000033701"	"1"	155433866	155567076
"338"	"Acbd7"	"ENSMUSG00000026644"	"2"	3337205	3342030
"339"	"Accs"	"ENSMUSG00000040272"	"2"	93663812	93680288
"340"	"Accsl"	"ENSMUSG00000075023"	"2"	93685706	93760827
"341"	"Ackr1"	"ENSMUSG00000037872"	"1"	173159453	173161317
"342"	"Ackr3"	"ENSMUSG00000044337"	"1"	90131702	90144473
